Day(14%HIV+Population) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
0 0.0 0.0 0.0 0.0
24 58.36 31.759999999999998 10.069999999999999 0.01
48 56.209999999999994 33.68000000000001 10.26 0.05
72 55.09 34.64 10.37 0.10000000000000002
96 54.35000000000001 35.309999999999995 10.4 0.14
120 53.48 36.059999999999995 10.48 0.18000000000000002
144 52.61 36.809999999999995 10.540000000000001 0.24000000000000002
168 51.51 37.81 10.620000000000001 0.26
192 51.190000000000005 38.07000000000001 10.64 0.3
216 50.85000000000001 38.36 10.66 0.33
240 50.6 38.58 10.64 0.38000000000000006
264 50.45 38.699999999999996 10.65 0.4000000000000001
288 50.239999999999995 38.84 10.7 0.42000000000000004
312 49.800000000000004 39.220000000000006 10.739999999999998 0.4400000000000001
336 49.22999999999999 39.7 10.799999999999999 0.4700000000000001
360 49.15 39.77 10.76 0.52
384 48.98 39.87 10.79 0.5599999999999999
408 48.88 39.93 10.79 0.6
432 48.769999999999996 39.98 10.79 0.66
456 48.690000000000005 40.04 10.75 0.7200000000000001
480 48.43 40.25 10.759999999999998 0.7600000000000001
504 48.15999999999999 40.48 10.759999999999998 0.8
528 48.11 40.519999999999996 10.729999999999999 0.8400000000000001
552 48.09000000000001 40.53 10.700000000000001 0.88
576 47.980000000000004 40.63 10.66 0.9299999999999999
600 47.93 40.67999999999999 10.629999999999999 0.9599999999999997
624 47.89 40.709999999999994 10.59 1.0099999999999998
648 47.72 40.82 10.629999999999999 1.0299999999999998
672 47.62 40.9 10.620000000000001 1.0599999999999998
696 47.56999999999999 40.900000000000006 10.65 1.0799999999999998
720 47.49 40.96 10.629999999999999 1.1199999999999999
744 47.39 41.010000000000005 10.66 1.14
768 47.32999999999999 41.07 10.569999999999999 1.2299999999999998
792 47.309999999999995 41.07999999999999 10.549999999999999 1.2599999999999996
816 47.24 41.13 10.540000000000001 1.2899999999999998
840 47.11 41.23 10.53 1.3299999999999998
864 47.010000000000005 41.32000000000001 10.489999999999998 1.3800000000000001
888 47.010000000000005 41.31 10.45 1.4300000000000002
912 46.96000000000001 41.33 10.38 1.5300000000000002
936 46.88 41.36 10.38 1.58
960 46.83999999999999 41.39000000000001 10.38 1.5900000000000005
984 46.78 41.44 10.37 1.6100000000000003
1008 46.690000000000005 41.53000000000001 10.34 1.6400000000000006
1032 46.66 41.559999999999995 10.32 1.6600000000000004
1056 46.64 41.57 10.280000000000001 1.7100000000000004
1080 46.63 41.550000000000004 10.269999999999998 1.7500000000000004
1104 46.580000000000005 41.59 10.24 1.7900000000000007
1128 46.57 41.6 10.229999999999999 1.8000000000000005
1152 46.5 41.64000000000001 10.22 1.8400000000000007
1176 46.400000000000006 41.720000000000006 10.209999999999999 1.87
1200 46.33 41.760000000000005 10.18 1.9300000000000004
1224 46.279999999999994 41.75 10.200000000000001 1.9700000000000002
1248 46.26 41.75 10.200000000000001 1.9900000000000004
1272 46.24999999999999 41.760000000000005 10.18 2.01
1296 46.22 41.769999999999996 10.19 2.0200000000000005
1320 46.17 41.81 10.16 2.0599999999999996
1344 46.12 41.86 10.129999999999999 2.0899999999999994
1368 46.10999999999999 41.85 10.12 2.1199999999999997
1392 46.099999999999994 41.839999999999996 10.12 2.1399999999999997
1416 46.08 41.83 10.149999999999999 2.1399999999999997
1440 46.06 41.839999999999996 10.129999999999999 2.17
1464 46.01 41.839999999999996 10.14 2.21
1488 46.0 41.83 10.149999999999999 2.2199999999999998
1512 45.96 41.839999999999996 10.11 2.2899999999999996
1536 45.949999999999996 41.839999999999996 10.100000000000001 2.31
1560 45.93 41.85 10.059999999999999 2.36
1584 45.93 41.85 9.989999999999998 2.4299999999999997
1608 45.919999999999995 41.86 9.969999999999999 2.4499999999999997
1632 45.910000000000004 41.81999999999999 9.989999999999998 2.4799999999999995
1656 45.9 41.78 10.03 2.4899999999999998
1680 45.82 41.83 10.040000000000001 2.5100000000000002
1704 45.79 41.839999999999996 10.040000000000001 2.53
1728 45.79 41.839999999999996 10.02 2.5500000000000003
1752 45.79 41.83 10.01 2.5700000000000003
1776 45.79 41.790000000000006 10.01 2.6099999999999994
1800 45.78 41.8 9.969999999999999 2.6499999999999995
1824 45.75 41.81999999999999 9.95 2.6799999999999997
1848 45.739999999999995 41.81999999999999 9.929999999999998 2.7099999999999995
1872 45.739999999999995 41.81999999999999 9.919999999999998 2.7199999999999993
1896 45.739999999999995 41.79999999999999 9.91 2.7500000000000004
1920 45.67 41.839999999999996 9.929999999999998 2.7600000000000002
1944 45.65 41.839999999999996 9.94 2.7700000000000005
1968 45.65 41.839999999999996 9.919999999999998 2.79
1992 45.65 41.839999999999996 9.919999999999998 2.79
2016 45.629999999999995 41.85999999999999 9.879999999999999 2.83
2040 45.629999999999995 41.839999999999996 9.869999999999997 2.8600000000000003
2064 45.629999999999995 41.839999999999996 9.86 2.87
2088 45.629999999999995 41.839999999999996 9.85 2.8800000000000003
2112 45.620000000000005 41.85 9.829999999999998 2.9000000000000004
2136 45.620000000000005 41.839999999999996 9.829999999999998 2.9100000000000006
2160 45.620000000000005 41.839999999999996 9.809999999999999 2.93
2184 45.61 41.83 9.799999999999999 2.9600000000000004
2208 45.61 41.8 9.799999999999999 2.99
2232 45.61 41.78999999999999 9.799999999999999 3.0000000000000004
2256 45.61 41.78999999999999 9.79 3.0100000000000007
2280 45.61 41.78 9.749999999999998 3.06
2304 45.599999999999994 41.739999999999995 9.769999999999998 3.0900000000000003
2328 45.59 41.739999999999995 9.769999999999998 3.1000000000000005
2352 45.59 41.739999999999995 9.729999999999999 3.1400000000000006
2376 45.59 41.72 9.739999999999998 3.150000000000001
2400 45.59 41.72 9.719999999999999 3.170000000000001
2424 45.53000000000001 41.75 9.749999999999998 3.170000000000001
2448 45.52 41.74 9.76 3.180000000000001
2472 45.52 41.730000000000004 9.749999999999998 3.2000000000000006
2496 45.52 41.720000000000006 9.749999999999998 3.2100000000000004
2520 45.51 41.699999999999996 9.76 3.230000000000001
2544 45.49999999999999 41.690000000000005 9.769999999999998 3.2400000000000007
2568 45.49 41.67000000000001 9.76 3.280000000000001
2592 45.48 41.64000000000001 9.79 3.2900000000000005
2616 45.47 41.63 9.779999999999998 3.3200000000000007
2640 45.46 41.63 9.76 3.350000000000001
2664 45.42 41.64000000000001 9.769999999999998 3.370000000000001
2688 45.38 41.63000000000001 9.779999999999998 3.4100000000000006
2712 45.38 41.580000000000005 9.79 3.450000000000001
2736 45.37 41.580000000000005 9.769999999999998 3.4800000000000004
2760 45.330000000000005 41.6 9.769999999999998 3.5000000000000004
2784 45.309999999999995 41.6 9.779999999999998 3.5100000000000007
2808 45.300000000000004 41.61 9.729999999999999 3.5600000000000005
2832 45.25 41.64000000000001 9.739999999999998 3.5700000000000003
2856 45.16 41.699999999999996 9.729999999999999 3.6100000000000008
2880 45.16 41.699999999999996 9.729999999999999 3.6100000000000008
2904 45.16 41.68999999999999 9.709999999999999 3.64
2928 45.16 41.68999999999999 9.679999999999998 3.6700000000000004
2952 45.16 41.68999999999999 9.659999999999998 3.6900000000000004
2976 45.16 41.669999999999995 9.639999999999999 3.730000000000001
3000 45.16 41.660000000000004 9.629999999999999 3.7500000000000004
3024 45.16 41.660000000000004 9.619999999999997 3.7600000000000007
3048 45.14 41.669999999999995 9.619999999999997 3.7700000000000005
3072 45.14 41.669999999999995 9.569999999999999 3.82
3096 45.14 41.669999999999995 9.549999999999999 3.8400000000000003
3120 45.11 41.660000000000004 9.589999999999998 3.8400000000000003
3144 45.09 41.669999999999995 9.579999999999998 3.8600000000000003
3168 45.09 41.66 9.549999999999999 3.9
3192 45.08 41.64 9.51 3.9699999999999993
3216 45.06 41.65 9.51 3.9799999999999986
3240 45.06 41.63 9.459999999999999 4.05
3264 45.06 41.620000000000005 9.459999999999999 4.059999999999999
3288 45.06 41.620000000000005 9.419999999999998 4.1
3312 45.06 41.620000000000005 9.389999999999999 4.129999999999999
3336 45.06 41.61 9.379999999999997 4.1499999999999995
3360 45.04 41.620000000000005 9.369999999999997 4.169999999999999
3384 45.04 41.580000000000005 9.399999999999999 4.179999999999999
3408 45.04 41.57 9.409999999999998 4.179999999999999
3432 45.02 41.57 9.409999999999998 4.199999999999999
3456 45.02 41.57 9.379999999999997 4.229999999999999
3480 45.02 41.54 9.409999999999998 4.229999999999999
3504 44.980000000000004 41.57 9.409999999999998 4.239999999999999
3528 44.96000000000001 41.52 9.429999999999998 4.289999999999999
3552 44.95 41.52 9.409999999999998 4.319999999999999
3576 44.95 41.510000000000005 9.399999999999999 4.34
3600 44.89000000000001 41.559999999999995 9.389999999999999 4.359999999999999
3624 44.89000000000001 41.550000000000004 9.339999999999998 4.42
3648 44.88 41.550000000000004 9.339999999999998 4.429999999999999
3672 44.87 41.510000000000005 9.36 4.459999999999999
3696 44.87 41.49 9.339999999999998 4.5
3720 44.87 41.49 9.319999999999999 4.52
3744 44.87 41.49 9.29 4.549999999999999
3768 44.86 41.49 9.299999999999999 4.549999999999999
3792 44.86 41.49 9.29 4.559999999999999
3816 44.769999999999996 41.56000000000001 9.299999999999999 4.569999999999999
3840 44.73999999999999 41.589999999999996 9.239999999999998 4.629999999999999
3864 44.709999999999994 41.59 9.229999999999999 4.669999999999999
3888 44.709999999999994 41.59 9.2 4.699999999999999
3912 44.709999999999994 41.580000000000005 9.189999999999998 4.719999999999999
3936 44.699999999999996 41.559999999999995 9.189999999999998 4.749999999999999
3960 44.64 41.6 9.189999999999998 4.77
3984 44.64 41.6 9.159999999999998 4.8
4008 44.63 41.6 9.149999999999999 4.819999999999999
4032 44.6 41.620000000000005 9.139999999999999 4.839999999999999
4056 44.57999999999999 41.61 9.129999999999997 4.88
4080 44.57999999999999 41.599999999999994 9.129999999999997 4.889999999999999
4104 44.57 41.589999999999996 9.139999999999999 4.8999999999999995
4128 44.57 41.58 9.129999999999997 4.919999999999999
4152 44.57 41.56999999999999 9.11 4.949999999999999
4176 44.55 41.58 9.089999999999998 4.9799999999999995
4200 44.46999999999999 41.61 9.119999999999997 5.0
4224 44.46 41.61999999999999 9.119999999999997 5.0
4248 44.46 41.61999999999999 9.099999999999998 5.0200000000000005
4272 44.46 41.599999999999994 9.099999999999998 5.04
4296 44.46 41.58 9.079999999999998 5.08
4320 44.419999999999995 41.620000000000005 9.059999999999999 5.1000000000000005
4344 44.419999999999995 41.599999999999994 9.059999999999999 5.12
4368 44.41 41.61 9.009999999999998 5.17
4392 44.41 41.589999999999996 9.009999999999998 5.19
4416 44.41 41.57 9.009999999999998 5.21
4440 44.41 41.57 8.999999999999998 5.220000000000001
4464 44.41 41.57 8.999999999999998 5.220000000000001
4488 44.39999999999999 41.559999999999995 9.019999999999998 5.220000000000001
4512 44.39 41.54999999999999 9.029999999999998 5.2299999999999995
4536 44.370000000000005 41.57 9.029999999999998 5.2299999999999995
4560 44.370000000000005 41.57 9.029999999999998 5.2299999999999995
4584 44.35000000000001 41.58 9.029999999999998 5.24
4608 44.34 41.559999999999995 9.029999999999998 5.2700000000000005
4632 44.34 41.54999999999999 9.019999999999998 5.29
4656 44.33 41.54999999999999 9.019999999999998 5.300000000000001
4680 44.32000000000001 41.54999999999999 9.019999999999998 5.3100000000000005
4704 44.26 41.599999999999994 9.009999999999998 5.329999999999999
4728 44.25 41.57 9.029999999999998 5.35
4752 44.26 41.52 9.059999999999999 5.359999999999999
4776 44.25 41.53000000000001 9.059999999999999 5.359999999999999
4800 44.32000000000001 41.52 8.979999999999997 5.379999999999999
4824 44.34000000000001 41.52 8.939999999999998 5.3999999999999995
4848 44.38000000000001 41.51 8.889999999999997 5.419999999999999
4872 44.379999999999995 41.480000000000004 8.889999999999997 5.450000000000001
4896 44.39 41.480000000000004 8.879999999999997 5.450000000000001
4920 44.440000000000005 41.44000000000001 8.859999999999998 5.46
4944 44.46 41.44000000000001 8.839999999999998 5.46
4968 44.48 41.42 8.829999999999998 5.470000000000001
4992 44.5 41.42 8.809999999999999 5.470000000000001
5016 44.53 41.43 8.729999999999997 5.510000000000001
5040 44.57 41.419999999999995 8.689999999999998 5.5200000000000005
5064 44.61000000000001 41.40999999999999 8.649999999999999 5.53
5088 44.66 41.40999999999999 8.579999999999997 5.550000000000001
5112 44.699999999999996 41.410000000000004 8.539999999999997 5.550000000000001
5136 44.74 41.410000000000004 8.499999999999998 5.550000000000001
5160 44.8 41.39000000000001 8.459999999999997 5.550000000000001
5184 44.81 41.39000000000001 8.439999999999998 5.5600000000000005
5208 44.9 41.38 8.349999999999998 5.57
5232 45.02 41.38 8.229999999999997 5.57
5256 45.050000000000004 41.36 8.219999999999997 5.57
5280 45.089999999999996 41.35000000000001 8.19 5.57
5304 45.13999999999999 41.34 8.139999999999999 5.58
5328 45.18000000000001 41.33 8.109999999999998 5.58
5352 45.31 41.33 7.979999999999999 5.58
5376 45.35 41.31 7.959999999999999 5.58
5400 45.43000000000001 41.3 7.89 5.58
5424 45.459999999999994 41.3 7.8599999999999985 5.58
5448 45.57000000000001 41.28 7.759999999999999 5.590000000000001
5472 45.65 41.27000000000001 7.6899999999999995 5.590000000000001
5496 45.71000000000001 41.28 7.6099999999999985 5.6000000000000005
5520 45.769999999999996 41.28 7.539999999999999 5.61
5544 45.9 41.28 7.3999999999999995 5.620000000000001
5568 45.940000000000005 41.28 7.359999999999999 5.620000000000001
5592 45.92 41.30999999999999 7.339999999999999 5.63
5616 46.0 41.3 7.26 5.640000000000001
5640 46.16 41.3 7.1 5.640000000000001
5664 46.209999999999994 41.27000000000001 7.070000000000001 5.650000000000001
5688 46.27 41.22 7.050000000000001 5.66
5712 46.33000000000001 41.18000000000001 7.03 5.66
5736 46.34 41.17 7.03 5.66
5760 46.39 41.17 6.9700000000000015 5.670000000000001
5784 46.440000000000005 41.18000000000001 6.890000000000001 5.69
5808 46.440000000000005 41.16000000000001 6.910000000000001 5.69
5832 46.510000000000005 41.16000000000001 6.839999999999999 5.69
5856 46.589999999999996 41.19 6.72 5.700000000000001
5880 46.690000000000005 41.19 6.619999999999999 5.700000000000001
5904 46.720000000000006 41.22 6.539999999999998 5.720000000000001
5928 46.760000000000005 41.22 6.49 5.73
5952 46.82000000000001 41.22 6.43 5.73
5976 46.87 41.209999999999994 6.39 5.73
6000 46.95 41.209999999999994 6.29 5.750000000000001
6024 46.980000000000004 41.22 6.25 5.750000000000001
6048 47.12 41.2 6.11 5.7700000000000005
6072 47.169999999999995 41.2 6.050000000000002 5.78
6096 47.21 41.17 6.03 5.790000000000001
6120 47.28999999999999 41.17 5.940000000000001 5.800000000000001
6144 47.3 41.16 5.93 5.8100000000000005
6168 47.42 41.17 5.789999999999999 5.820000000000001
6192 47.45 41.17 5.750000000000001 5.83
6216 47.53 41.16 5.68 5.83
6240 47.53999999999999 41.16 5.670000000000001 5.83
6264 47.589999999999996 41.16 5.620000000000001 5.83
6288 47.660000000000004 41.16 5.549999999999999 5.83
6312 47.709999999999994 41.16 5.500000000000001 5.83
6336 47.75999999999999 41.16 5.43 5.850000000000001
6360 47.93999999999999 41.16 5.24 5.86
6384 47.949999999999996 41.15999999999998 5.2299999999999995 5.86
6408 47.980000000000004 41.15999999999998 5.2 5.86
6432 48.03 41.14999999999999 5.16 5.86
6456 48.1 41.139999999999986 5.09 5.870000000000001
6480 48.150000000000006 41.139999999999986 5.0200000000000005 5.890000000000001
6504 48.24 41.139999999999986 4.93 5.890000000000001
6528 48.26 41.11999999999999 4.919999999999999 5.900000000000001
6552 48.27 41.129999999999995 4.889999999999999 5.910000000000001
6576 48.33 41.120000000000005 4.819999999999999 5.930000000000001
6600 48.40000000000001 41.129999999999995 4.739999999999999 5.930000000000001
6624 48.44 41.129999999999995 4.689999999999999 5.940000000000001
6648 48.459999999999994 41.129999999999995 4.669999999999999 5.940000000000001
6672 48.480000000000004 41.129999999999995 4.639999999999999 5.950000000000001
6696 48.50000000000001 41.120000000000005 4.629999999999999 5.950000000000001
6720 48.49 41.099999999999994 4.6499999999999995 5.960000000000001
6744 48.51 41.099999999999994 4.629999999999999 5.960000000000001
6768 48.550000000000004 41.099999999999994 4.579999999999999 5.970000000000001
6792 48.559999999999995 41.099999999999994 4.569999999999999 5.970000000000001
6816 48.580000000000005 41.099999999999994 4.55 5.970000000000001
6840 48.6 41.11 4.52 5.970000000000001
6864 48.66 41.099999999999994 4.459999999999999 5.98
6888 48.67 41.089999999999996 4.459999999999999 5.98
6912 48.67000000000001 41.07 4.47 5.990000000000001
6936 48.67000000000001 41.059999999999995 4.47 6.000000000000001
6960 48.66 41.06999999999999 4.45 6.020000000000001
6984 48.66 41.059999999999995 4.45 6.03
7008 48.68 41.05 4.429999999999999 6.040000000000001
7032 48.660000000000004 41.019999999999996 4.449999999999999 6.070000000000001
7056 48.67 41.019999999999996 4.409999999999998 6.1
7080 48.67000000000001 41.03 4.389999999999999 6.110000000000001
7104 48.699999999999996 41.03 4.35 6.12
7128 48.71 41.019999999999996 4.35 6.12
7152 48.71 41.010000000000005 4.359999999999999 6.12
7176 48.71 41.010000000000005 4.35 6.130000000000001
7200 48.730000000000004 41.010000000000005 4.319999999999999 6.14
7224 48.730000000000004 41.0 4.329999999999999 6.14
7248 48.75 40.99 4.319999999999999 6.14
7272 48.78 40.99 4.289999999999999 6.14
7296 48.78 40.97 4.3 6.150000000000001
7320 48.760000000000005 40.96 4.329999999999999 6.150000000000001
7344 48.769999999999996 40.96 4.31 6.16
7368 48.78 40.93 4.329999999999999 6.16
7392 48.760000000000005 40.93 4.34 6.170000000000001
7416 48.769999999999996 40.90999999999999 4.35 6.170000000000001
7440 48.769999999999996 40.90999999999999 4.34 6.18
7464 48.769999999999996 40.90999999999999 4.319999999999999 6.2
7488 48.77999999999999 40.90999999999999 4.31 6.2
7512 48.77999999999999 40.90999999999999 4.3 6.210000000000001
7536 48.8 40.90999999999999 4.279999999999999 6.210000000000001
7560 48.769999999999996 40.919999999999995 4.27 6.239999999999999
7584 48.769999999999996 40.88999999999999 4.3 6.239999999999999
7608 48.81999999999999 40.87 4.259999999999999 6.250000000000002
7632 48.81 40.87 4.25 6.2700000000000005
7656 48.81 40.87 4.239999999999999 6.279999999999999
7680 48.83 40.87 4.22 6.279999999999999
7704 48.85 40.849999999999994 4.209999999999999 6.290000000000001
7728 48.85 40.81 4.22 6.32
7752 48.86000000000001 40.79 4.229999999999999 6.32
7776 48.87 40.77 4.229999999999999 6.330000000000001
7800 48.839999999999996 40.790000000000006 4.22 6.350000000000001
7824 48.85 40.790000000000006 4.209999999999999 6.350000000000001
7848 48.85 40.77 4.229999999999999 6.350000000000001
7872 48.85 40.75 4.25 6.350000000000001
7896 48.85 40.75 4.239999999999999 6.36
7920 48.83 40.760000000000005 4.229999999999999 6.38
7944 48.86000000000001 40.74999999999999 4.209999999999999 6.38
7968 48.86000000000001 40.75 4.1899999999999995 6.4
7992 48.86000000000001 40.75 4.169999999999999 6.420000000000001
8016 48.88 40.71999999999999 4.169999999999999 6.430000000000001
8040 48.88 40.71999999999999 4.159999999999999 6.4399999999999995
8064 48.900000000000006 40.709999999999994 4.1499999999999995 6.4399999999999995
8088 48.89 40.71999999999999 4.1499999999999995 6.4399999999999995
8112 48.88 40.709999999999994 4.16 6.450000000000002
8136 48.89 40.7 4.159999999999999 6.450000000000002
8160 48.89 40.69 4.169999999999999 6.450000000000002
8184 48.9 40.69 4.159999999999999 6.450000000000002
8208 48.89 40.67999999999999 4.179999999999999 6.450000000000002
8232 48.9 40.67 4.1499999999999995 6.4799999999999995
8256 48.9 40.66000000000001 4.159999999999999 6.4799999999999995
8280 48.9 40.64 4.159999999999999 6.500000000000002
8304 48.9 40.63 4.159999999999999 6.510000000000001
8328 48.9 40.63 4.159999999999999 6.510000000000001
8352 48.90999999999999 40.63 4.139999999999999 6.5200000000000005
8376 48.90999999999999 40.62 4.139999999999999 6.529999999999999
8400 48.9 40.61 4.159999999999999 6.529999999999999
8424 48.9 40.61 4.1499999999999995 6.540000000000001
8448 48.91 40.61 4.109999999999999 6.570000000000001
8472 48.91 40.58 4.119999999999999 6.59
8496 48.91 40.57000000000001 4.109999999999999 6.61
8520 48.92 40.55 4.109999999999999 6.620000000000001
8544 48.89 40.57000000000001 4.119999999999999 6.620000000000001
8568 48.89 40.57000000000001 4.109999999999999 6.63
8592 48.88999999999999 40.56 4.119999999999999 6.63
8616 48.88999999999999 40.55000000000001 4.119999999999999 6.6400000000000015
8640 48.91 40.52 4.129999999999999 6.6400000000000015
8664 48.9 40.53 4.129999999999999 6.6400000000000015
8688 48.9 40.53 4.129999999999999 6.6400000000000015
8712 48.9 40.53 4.129999999999999 6.6400000000000015
8736 48.9 40.52 4.139999999999999 6.6400000000000015
8760 48.91 40.49 4.1499999999999995 6.65
8784 48.9 40.49 4.1499999999999995 6.660000000000002
8808 48.88 40.50000000000001 4.139999999999999 6.68
8832 48.91 40.49 4.109999999999999 6.69
8856 48.91 40.49 4.1 6.7
8880 48.89 40.5 4.109999999999999 6.7
8904 48.89 40.510000000000005 4.1 6.7
8928 48.89 40.48 4.129999999999999 6.7
8952 48.91000000000001 40.46999999999999 4.119999999999999 6.7
8976 48.92999999999999 40.46 4.1 6.710000000000001
9000 48.94 40.46 4.089999999999999 6.710000000000001
9024 48.92999999999999 40.449999999999996 4.1 6.720000000000001
9048 48.92 40.43 4.129999999999999 6.720000000000001
9072 48.87 40.449999999999996 4.1499999999999995 6.7299999999999995
9096 48.87999999999999 40.440000000000005 4.139999999999999 6.74
9120 48.9 40.440000000000005 4.119999999999999 6.74
9144 48.9 40.43 4.119999999999999 6.75
9168 48.91 40.43 4.1 6.760000000000001
9192 48.91 40.400000000000006 4.129999999999999 6.760000000000001
9216 48.91 40.400000000000006 4.119999999999999 6.770000000000001
9240 48.87 40.400000000000006 4.159999999999999 6.770000000000001
9264 48.87 40.400000000000006 4.159999999999999 6.770000000000001
9288 48.88 40.37 4.179999999999999 6.770000000000001
9312 48.87 40.35 4.199999999999999 6.78
9336 48.86000000000001 40.339999999999996 4.209999999999999 6.79
9360 48.870000000000005 40.32999999999999 4.209999999999999 6.79
9384 48.85 40.35 4.209999999999999 6.79
9408 48.81 40.330000000000005 4.25 6.8100000000000005
9432 48.81 40.330000000000005 4.25 6.8100000000000005
9456 48.81 40.330000000000005 4.25 6.8100000000000005
9480 48.81 40.32 4.259999999999999 6.8100000000000005
9504 48.81 40.32 4.25 6.820000000000001
9528 48.84 40.32 4.209999999999999 6.83
9552 48.83 40.30000000000001 4.22 6.8500000000000005
9576 48.83 40.28 4.239999999999999 6.8500000000000005
9600 48.80000000000001 40.290000000000006 4.25 6.860000000000001
9624 48.80000000000001 40.260000000000005 4.259999999999999 6.88
9648 48.76000000000001 40.27 4.279999999999999 6.890000000000001
9672 48.77000000000001 40.26 4.279999999999999 6.890000000000001
9696 48.75 40.290000000000006 4.27 6.890000000000001
9720 48.760000000000005 40.27 4.279999999999999 6.890000000000001
9744 48.74000000000001 40.29 4.259999999999999 6.909999999999999
9768 48.74000000000001 40.28 4.259999999999999 6.920000000000001
9792 48.74000000000001 40.26 4.27 6.93
9816 48.74000000000001 40.23 4.289999999999999 6.94
9840 48.74000000000001 40.22 4.3 6.94
9864 48.75 40.21 4.3 6.94
9888 48.74999999999999 40.21 4.3 6.94
9912 48.69 40.25 4.319999999999999 6.94
9936 48.69 40.239999999999995 4.329999999999999 6.94
9960 48.72 40.230000000000004 4.31 6.94
9984 48.72 40.22 4.319999999999999 6.94
10008 48.699999999999996 40.239999999999995 4.319999999999999 6.94
10032 48.69 40.25 4.31 6.950000000000001
10056 48.620000000000005 40.31000000000001 4.31 6.959999999999999
10080 48.59 40.330000000000005 4.289999999999999 6.989999999999999
10104 48.59 40.320000000000014 4.289999999999999 7.000000000000001
10128 48.61 40.320000000000014 4.27 7.000000000000001
10152 48.61 40.300000000000004 4.279999999999999 7.01
10176 48.61 40.29 4.279999999999999 7.020000000000001
10200 48.61 40.27 4.3 7.020000000000001
10224 48.61 40.260000000000005 4.3 7.030000000000001
10248 48.58999999999999 40.260000000000005 4.319999999999999 7.030000000000001
10272 48.58999999999999 40.239999999999995 4.34 7.030000000000001
10296 48.599999999999994 40.23 4.329999999999999 7.040000000000002
10320 48.599999999999994 40.23 4.319999999999999 7.050000000000001
10344 48.58 40.239999999999995 4.31 7.070000000000001
10368 48.59 40.230000000000004 4.3 7.080000000000002
10392 48.620000000000005 40.230000000000004 4.259999999999999 7.090000000000002
10416 48.6 40.239999999999995 4.25 7.110000000000002
10440 48.59 40.23 4.259999999999999 7.120000000000001
10464 48.59 40.23 4.239999999999999 7.140000000000002
10488 48.580000000000005 40.22 4.229999999999999 7.170000000000002
10512 48.57 40.2 4.229999999999999 7.200000000000001
10536 48.57 40.190000000000005 4.229999999999999 7.21
10560 48.580000000000005 40.190000000000005 4.209999999999999 7.2200000000000015
