Day(100.0%OfPopulation) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
1560 45.81000000000001 41.54 9.799999999999999 2.9000000000000004
1584 45.79 41.54 9.809999999999999 2.9100000000000006
1608 45.769999999999996 41.56000000000001 9.799999999999999 2.9200000000000004
1632 45.76 41.529999999999994 9.809999999999999 2.9500000000000006
1656 45.76 41.529999999999994 9.76 3.0000000000000004
1680 45.730000000000004 41.550000000000004 9.739999999999998 3.0300000000000002
1704 45.709999999999994 41.57 9.729999999999999 3.0400000000000005
1728 45.660000000000004 41.57 9.729999999999999 3.0900000000000003
1752 45.65 41.580000000000005 9.659999999999998 3.16
1776 45.64 41.559999999999995 9.649999999999999 3.2
1800 45.61 41.57 9.629999999999999 3.2399999999999998
1824 45.56 41.59 9.639999999999999 3.2600000000000002
1848 45.56 41.580000000000005 9.6 3.3099999999999996
1872 45.56 41.57 9.569999999999999 3.3499999999999996
1896 45.56 41.53000000000001 9.569999999999999 3.39
1920 45.550000000000004 41.54 9.54 3.4199999999999995
1944 45.540000000000006 41.54 9.499999999999998 3.4699999999999993
1968 45.53 41.529999999999994 9.479999999999999 3.51
1992 45.52 41.529999999999994 9.489999999999998 3.51
2016 45.52 41.51999999999999 9.45 3.56
2040 45.51 41.51999999999999 9.429999999999998 3.5900000000000003
2064 45.49999999999999 41.49 9.459999999999999 3.5999999999999996
2088 45.49999999999999 41.47 9.439999999999998 3.64
2112 45.49999999999999 41.47 9.419999999999998 3.66
2136 45.49999999999999 41.47 9.399999999999999 3.6799999999999997
2160 45.47 41.45 9.379999999999997 3.75
2184 45.42 41.5 9.36 3.7699999999999996
2208 45.410000000000004 41.510000000000005 9.34 3.7900000000000005
2232 45.410000000000004 41.510000000000005 9.309999999999999 3.82
2256 45.32999999999999 41.550000000000004 9.329999999999998 3.8400000000000003
2280 45.309999999999995 41.57 9.319999999999999 3.85
2304 45.309999999999995 41.56000000000001 9.319999999999999 3.8600000000000003
2328 45.29 41.57 9.309999999999999 3.88
2352 45.29 41.559999999999995 9.29 3.91
2376 45.29 41.559999999999995 9.269999999999998 3.93
2400 45.28 41.559999999999995 9.259999999999998 3.95
2424 45.28 41.54999999999999 9.239999999999998 3.9800000000000004
2448 45.269999999999996 41.54999999999999 9.249999999999998 3.9800000000000004
2472 45.25 41.54999999999999 9.249999999999998 4.0
2496 45.25 41.54999999999999 9.229999999999999 4.02
2520 45.24000000000001 41.559999999999995 9.19 4.0600000000000005
2544 45.24000000000001 41.529999999999994 9.18 4.1000000000000005
2568 45.21000000000001 41.54 9.169999999999998 4.129999999999999
2592 45.21000000000001 41.529999999999994 9.169999999999998 4.139999999999999
2616 45.21000000000001 41.52 9.159999999999998 4.159999999999999
2640 45.17 41.550000000000004 9.159999999999998 4.169999999999999
2664 45.150000000000006 41.54 9.189999999999998 4.169999999999999
2688 45.099999999999994 41.58 9.169999999999998 4.199999999999999
2712 45.09 41.529999999999994 9.189999999999998 4.239999999999999
2736 45.03 41.57 9.169999999999998 4.279999999999999
2760 45.03 41.57 9.149999999999999 4.299999999999999
2784 45.03 41.529999999999994 9.159999999999998 4.329999999999999
2808 45.010000000000005 41.510000000000005 9.149999999999999 4.379999999999999
2832 44.980000000000004 41.52 9.149999999999999 4.3999999999999995
2856 44.980000000000004 41.5 9.149999999999999 4.419999999999999
2880 44.97 41.5 9.129999999999997 4.449999999999999
2904 44.96000000000001 41.51 9.089999999999998 4.489999999999998
2928 44.95 41.5 9.089999999999998 4.509999999999999
2952 44.94 41.5 9.079999999999998 4.529999999999999
2976 44.94 41.49 9.069999999999997 4.549999999999999
3000 44.93000000000001 41.480000000000004 9.079999999999998 4.559999999999999
3024 44.87 41.52 9.079999999999998 4.579999999999999
3048 44.87 41.5 9.079999999999998 4.6
3072 44.87 41.47 9.099999999999998 4.6099999999999985
3096 44.84 41.47 9.079999999999998 4.659999999999999
3120 44.84 41.44 9.099999999999998 4.669999999999999
3144 44.84 41.43000000000001 9.089999999999998 4.689999999999999
3168 44.800000000000004 41.46000000000001 9.079999999999998 4.709999999999999
3192 44.79 41.47 9.079999999999998 4.709999999999999
3216 44.78000000000001 41.45 9.089999999999998 4.7299999999999995
3240 44.74999999999999 41.45 9.059999999999999 4.789999999999999
3264 44.73 41.45 9.079999999999998 4.789999999999999
3288 44.73 41.43 9.069999999999997 4.819999999999999
3312 44.71999999999999 41.42 9.069999999999997 4.839999999999999
3336 44.690000000000005 41.410000000000004 9.099999999999998 4.85
3360 44.690000000000005 41.39000000000001 9.089999999999998 4.88
3384 44.66 41.4 9.09 4.8999999999999995
3408 44.66 41.39000000000001 9.079999999999998 4.919999999999999
3432 44.66 41.370000000000005 9.049999999999999 4.97
3456 44.66 41.370000000000005 9.039999999999997 4.9799999999999995
3480 44.66 41.370000000000005 9.02 5.0
3504 44.65 41.349999999999994 8.979999999999997 5.07
3528 44.64 41.34 8.979999999999997 5.09
3552 44.63 41.349999999999994 8.969999999999997 5.1000000000000005
3576 44.63 41.349999999999994 8.919999999999998 5.15
3600 44.62 41.339999999999996 8.94 5.15
3624 44.62 41.31999999999999 8.919999999999998 5.19
3648 44.62 41.28 8.959999999999999 5.19
3672 44.62 41.260000000000005 8.959999999999999 5.21
3696 44.580000000000005 41.28999999999999 8.93 5.250000000000001
3720 44.580000000000005 41.28999999999999 8.889999999999999 5.29
3744 44.57000000000001 41.3 8.879999999999999 5.300000000000001
3768 44.55000000000001 41.290000000000006 8.889999999999999 5.32
3792 44.540000000000006 41.28 8.879999999999999 5.3500000000000005
3816 44.540000000000006 41.28 8.87 5.36
3840 44.519999999999996 41.290000000000006 8.85 5.390000000000001
3864 44.519999999999996 41.28 8.829999999999998 5.420000000000001
3888 44.519999999999996 41.269999999999996 8.799999999999999 5.46
3912 44.50999999999999 41.269999999999996 8.769999999999998 5.500000000000001
3936 44.5 41.24 8.79 5.5200000000000005
3960 44.5 41.24 8.780000000000001 5.53
3984 44.5 41.24 8.75 5.5600000000000005
4008 44.47 41.260000000000005 8.729999999999999 5.589999999999999
4032 44.47 41.25 8.7 5.63
4056 44.46000000000001 41.24 8.670000000000002 5.680000000000001
4080 44.46000000000001 41.220000000000006 8.69 5.680000000000001
4104 44.43 41.24 8.68 5.700000000000001
4128 44.42 41.24 8.680000000000001 5.71
4152 44.42 41.24 8.66 5.7299999999999995
4176 44.42 41.24 8.649999999999999 5.74
4200 44.370000000000005 41.260000000000005 8.659999999999998 5.760000000000001
4224 44.34 41.27000000000001 8.66 5.78
4248 44.330000000000005 41.27000000000001 8.649999999999999 5.800000000000001
4272 44.32000000000001 41.27000000000001 8.629999999999999 5.83
4296 44.32000000000001 41.27000000000001 8.58 5.880000000000001
4320 44.32000000000001 41.27000000000001 8.569999999999999 5.89
4344 44.32000000000001 41.27000000000001 8.54 5.920000000000001
4368 44.32000000000001 41.27000000000001 8.53 5.93
4392 44.300000000000004 41.27000000000001 8.53 5.949999999999999
4416 44.300000000000004 41.25 8.540000000000001 5.960000000000001
4440 44.300000000000004 41.24 8.530000000000001 5.98
4464 44.27 41.25000000000001 8.549999999999999 5.98
4488 44.23000000000001 41.28 8.549999999999999 5.989999999999999
4512 44.21000000000001 41.27000000000001 8.549999999999999 6.020000000000001
4536 44.2 41.24 8.580000000000002 6.03
4560 44.18 41.25 8.59 6.03
4584 44.17 41.23 8.609999999999998 6.040000000000001
4608 44.16 41.22 8.63 6.040000000000001
4632 44.16 41.21 8.64 6.040000000000001
4656 44.16 41.2 8.62 6.069999999999999
4680 44.16 41.2 8.61 6.080000000000001
4704 44.15 41.2 8.61 6.09
4728 44.17 41.2 8.59 6.09
4752 44.17 41.21 8.579999999999998 6.09
4776 44.19 41.21 8.56 6.09
4800 44.22999999999999 41.21 8.52 6.09
4824 44.25 41.21 8.5 6.09
4848 44.25999999999999 41.190000000000005 8.5 6.100000000000001
4872 44.269999999999996 41.16000000000001 8.519999999999998 6.100000000000001
4896 44.29 41.14000000000001 8.509999999999998 6.11
4920 44.32000000000001 41.14000000000001 8.48 6.11
4944 44.32000000000001 41.14000000000001 8.48 6.11
4968 44.34 41.14000000000001 8.429999999999998 6.139999999999999
4992 44.36 41.14000000000001 8.399999999999999 6.15
5016 44.41 41.11000000000001 8.370000000000001 6.159999999999998
5040 44.42000000000001 41.1 8.36 6.17
5064 44.45 41.089999999999996 8.329999999999998 6.179999999999999
5088 44.46000000000001 41.080000000000005 8.330000000000002 6.179999999999999
5112 44.5 41.07 8.28 6.199999999999998
5136 44.580000000000005 41.05 8.209999999999999 6.21
5160 44.68 41.059999999999995 8.1 6.21
5184 44.71 41.04 8.08 6.219999999999999
5208 44.74999999999999 41.03000000000001 8.049999999999999 6.219999999999999
5232 44.82000000000001 41.03000000000001 7.9799999999999995 6.219999999999999
5256 44.86000000000001 41.02 7.949999999999998 6.219999999999999
5280 44.9 41.010000000000005 7.919999999999999 6.219999999999999
5304 44.940000000000005 41.010000000000005 7.880000000000001 6.219999999999999
5328 45.010000000000005 41.010000000000005 7.809999999999999 6.219999999999999
5352 45.06 41.0 7.759999999999999 6.23
5376 45.07000000000001 41.010000000000005 7.739999999999999 6.23
5400 45.20000000000001 40.99000000000001 7.630000000000001 6.23
5424 45.24 40.970000000000006 7.61 6.23
5448 45.300000000000004 40.970000000000006 7.539999999999999 6.239999999999999
5472 45.379999999999995 40.949999999999996 7.4799999999999995 6.239999999999999
5496 45.45 40.940000000000005 7.419999999999999 6.239999999999999
5520 45.550000000000004 40.940000000000005 7.31 6.25
5544 45.59 40.92000000000001 7.289999999999999 6.25
5568 45.67000000000001 40.910000000000004 7.22 6.25
5592 45.69 40.910000000000004 7.199999999999999 6.25
5616 45.730000000000004 40.910000000000004 7.139999999999999 6.2700000000000005
5640 45.86 40.900000000000006 7.01 6.279999999999999
5664 45.940000000000005 40.89 6.92 6.299999999999999
5688 46.01 40.88 6.8500000000000005 6.3100000000000005
5712 46.16 40.89 6.69 6.3100000000000005
5736 46.16 40.89 6.6800000000000015 6.319999999999999
5760 46.21000000000001 40.9 6.61 6.329999999999999
5784 46.31 40.9 6.49 6.35
5808 46.33 40.849999999999994 6.5200000000000005 6.35
5832 46.35999999999999 40.85000000000001 6.49 6.35
5856 46.50999999999999 40.83 6.35 6.359999999999999
5880 46.53999999999999 40.84 6.300000000000002 6.370000000000001
5904 46.62 40.83 6.23 6.370000000000001
5928 46.67 40.82 6.1899999999999995 6.370000000000001
5952 46.739999999999995 40.82 6.120000000000001 6.370000000000001
5976 46.75999999999999 40.83 6.080000000000001 6.38
6000 46.769999999999996 40.82 6.0600000000000005 6.399999999999999
6024 46.82000000000001 40.81 6.01 6.41
6048 46.95 40.81 5.880000000000001 6.41
6072 47.010000000000005 40.800000000000004 5.820000000000001 6.419999999999999
6096 47.06 40.78000000000001 5.790000000000001 6.419999999999999
6120 47.099999999999994 40.76 5.7700000000000005 6.419999999999999
6144 47.099999999999994 40.73 5.78 6.439999999999999
6168 47.160000000000004 40.73 5.720000000000001 6.439999999999999
6192 47.21 40.71999999999999 5.680000000000001 6.439999999999999
6216 47.339999999999996 40.71999999999999 5.540000000000001 6.449999999999998
6240 47.39000000000001 40.69999999999999 5.51 6.449999999999998
6264 47.43000000000001 40.69999999999999 5.46 6.459999999999999
6288 47.510000000000005 40.68999999999999 5.38 6.47
6312 47.650000000000006 40.679999999999986 5.250000000000001 6.47
6336 47.69 40.669999999999995 5.19 6.499999999999999
6360 47.82 40.65999999999999 5.07 6.499999999999999
6384 47.809999999999995 40.65 5.08 6.509999999999999
6408 47.830000000000005 40.669999999999995 5.04 6.509999999999999
6432 47.86 40.66 5.01 6.52
6456 47.9 40.65 4.9799999999999995 6.52
6480 47.93 40.63 4.97 6.52
6504 48.03000000000001 40.599999999999994 4.8999999999999995 6.52
6528 48.03000000000001 40.59 4.889999999999999 6.539999999999998
6552 48.040000000000006 40.57000000000001 4.8999999999999995 6.539999999999998
6576 48.040000000000006 40.57000000000001 4.8999999999999995 6.539999999999998
6600 48.18000000000001 40.56 4.77 6.539999999999998
6624 48.22 40.57000000000001 4.709999999999999 6.549999999999999
6648 48.230000000000004 40.57000000000001 4.689999999999999 6.559999999999999
6672 48.25000000000001 40.55000000000001 4.68 6.569999999999999
6696 48.290000000000006 40.55000000000001 4.639999999999999 6.569999999999999
6720 48.28 40.55000000000001 4.639999999999999 6.58
6744 48.3 40.540000000000006 4.6099999999999985 6.599999999999999
6768 48.35000000000001 40.53 4.57 6.599999999999999
6792 48.37 40.53 4.54 6.609999999999999
6816 48.41000000000001 40.510000000000005 4.5200000000000005 6.609999999999999
6840 48.42000000000001 40.510000000000005 4.5 6.619999999999999
6864 48.46000000000001 40.510000000000005 4.46 6.619999999999999
6888 48.440000000000005 40.53 4.45 6.63
