Day(6.4%TBDiseaseONLYPopulation) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
0 0.0 0.0 0.0 0.0
24 57.85 31.510000000000005 10.69 0.05
48 55.74 33.43 10.85 0.08
72 54.31 34.63 11.069999999999999 0.09000000000000001
96 53.269999999999996 35.58 11.12 0.13
120 52.39 36.3 11.219999999999999 0.19
144 51.440000000000005 37.099999999999994 11.339999999999998 0.21999999999999997
168 50.129999999999995 38.21 11.52 0.24000000000000002
192 49.92000000000001 38.36 11.510000000000002 0.31
216 49.58 38.68 11.479999999999999 0.36000000000000004
240 49.260000000000005 38.93000000000001 11.479999999999999 0.43
264 48.96999999999999 39.15 11.49 0.49
288 48.78 39.31 11.5 0.51
312 48.49 39.51 11.56 0.54
336 48.25000000000001 39.73000000000001 11.54 0.5800000000000002
360 48.209999999999994 39.760000000000005 11.52 0.61
384 48.07 39.87 11.53 0.63
408 47.9 39.989999999999995 11.54 0.67
432 47.77 40.11 11.479999999999999 0.7400000000000001
456 47.59 40.23 11.46 0.8199999999999998
480 47.42 40.36999999999999 11.459999999999999 0.8499999999999999
504 47.15 40.58 11.459999999999999 0.91
528 47.089999999999996 40.599999999999994 11.479999999999999 0.9299999999999999
552 47.050000000000004 40.63 11.440000000000001 0.98
576 46.9 40.78000000000001 11.42 0.9999999999999999
600 46.88 40.78000000000001 11.42 1.0199999999999998
624 46.769999999999996 40.88 11.379999999999999 1.0699999999999998
648 46.69999999999999 40.949999999999996 11.340000000000002 1.11
672 46.61 41.03 11.32 1.1400000000000001
696 46.559999999999995 41.05 11.299999999999999 1.1900000000000002
720 46.53 41.06999999999999 11.29 1.2100000000000002
744 46.489999999999995 41.099999999999994 11.26 1.25
768 46.45 41.129999999999995 11.239999999999998 1.28
792 46.43 41.14 11.23 1.3
816 46.32000000000001 41.209999999999994 11.19 1.3800000000000001
840 46.13 41.36 11.180000000000001 1.4300000000000002
864 46.06000000000001 41.410000000000004 11.17 1.4599999999999997
888 46.00000000000001 41.459999999999994 11.16 1.4799999999999998
912 45.98000000000001 41.47 11.14 1.5099999999999998
936 45.879999999999995 41.550000000000004 11.15 1.5199999999999996
960 45.830000000000005 41.580000000000005 11.110000000000001 1.5799999999999998
984 45.769999999999996 41.63 11.100000000000001 1.5999999999999996
1008 45.739999999999995 41.629999999999995 11.069999999999999 1.6599999999999997
1032 45.71000000000001 41.64999999999999 11.059999999999999 1.68
