Day(35.0%TBInfectionONLYPopulation) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
0 0.0 0.0 0.0 0.0
24 58.43999999999999 31.06 10.629999999999999 0.02
48 56.55 32.75 10.81 0.04
72 55.269999999999996 33.83 10.98 0.06999999999999999
96 54.04 34.91 11.070000000000002 0.13
120 53.36000000000001 35.48 11.16 0.15000000000000002
144 52.14000000000001 36.529999999999994 11.29 0.19000000000000003
168 50.85000000000001 37.66 11.43 0.21000000000000002
192 50.580000000000005 37.87 11.440000000000001 0.26
216 50.2 38.22 11.43 0.3
240 49.800000000000004 38.57000000000001 11.450000000000001 0.33
264 49.46 38.849999999999994 11.469999999999999 0.37
288 49.33 38.95000000000001 11.479999999999999 0.38999999999999996
312 48.82999999999999 39.37 11.520000000000001 0.43
336 48.33 39.83 11.469999999999999 0.52
360 48.14999999999999 39.95 11.490000000000004 0.5599999999999999
384 47.949999999999996 40.12999999999999 11.470000000000002 0.6
408 47.81000000000001 40.25 11.46 0.63
432 47.69 40.32 11.469999999999999 0.67
456 47.540000000000006 40.449999999999996 11.469999999999999 0.6900000000000001
480 47.35 40.59 11.49 0.7200000000000001
504 47.18999999999999 40.709999999999994 11.49 0.7600000000000001
528 47.07000000000001 40.81 11.469999999999999 0.8
552 46.98 40.83 11.49 0.8500000000000001
576 46.86 40.910000000000004 11.49 0.8899999999999998
600 46.83 40.92000000000001 11.43 0.9699999999999999
624 46.760000000000005 40.98 11.400000000000002 1.01
648 46.58999999999999 41.14999999999999 11.330000000000002 1.08
672 46.39 41.31 11.35 1.0999999999999999
696 46.33 41.34 11.35 1.1300000000000001
720 46.28 41.38 11.340000000000002 1.15
744 46.239999999999995 41.39000000000001 11.340000000000002 1.1800000000000002
768 46.230000000000004 41.4 11.29 1.2300000000000002
792 46.2 41.410000000000004 11.27 1.27
816 46.160000000000004 41.44 11.200000000000001 1.35
840 45.94000000000001 41.620000000000005 11.23 1.36
864 45.82000000000001 41.720000000000006 11.230000000000002 1.3800000000000001
888 45.800000000000004 41.730000000000004 11.22 1.4000000000000001
912 45.75 41.78 11.180000000000001 1.4400000000000002
936 45.739999999999995 41.790000000000006 11.129999999999999 1.4900000000000002
960 45.72 41.78 11.09 1.5599999999999998
984 45.7 41.8 11.080000000000002 1.5699999999999998
1008 45.65 41.839999999999996 11.040000000000001 1.6199999999999999
1032 45.58 41.89999999999999 11.040000000000001 1.6300000000000001
1056 45.53 41.949999999999996 10.99 1.6800000000000002
1080 45.45 41.99 11.000000000000002 1.71
1104 45.42 42.01 10.940000000000001 1.7800000000000002
1128 45.4 42.02 10.92 1.81
1152 45.3 42.089999999999996 10.91 1.8499999999999999
1176 45.24999999999999 42.13 10.89 1.8800000000000001
1200 45.23 42.14000000000001 10.86 1.92
1224 45.169999999999995 42.18 10.87 1.9299999999999997
1248 45.11999999999999 42.199999999999996 10.86 1.97
1272 45.099999999999994 42.209999999999994 10.82 2.02
1296 45.08 42.22 10.81 2.0399999999999996
1320 45.050000000000004 42.25 10.74 2.11
1344 44.989999999999995 42.279999999999994 10.75 2.13
1368 44.989999999999995 42.22 10.780000000000001 2.16
1392 44.959999999999994 42.24 10.77 2.18
1416 44.94999999999999 42.25 10.72 2.23
1440 44.92999999999999 42.27 10.69 2.2600000000000002
1464 44.92999999999999 42.27 10.669999999999998 2.28
1488 44.91 42.279999999999994 10.66 2.3
1512 44.879999999999995 42.29 10.66 2.32
1536 44.83999999999999 42.309999999999995 10.629999999999999 2.37
1560 44.81 42.34 10.59 2.41
1584 44.78999999999999 42.35 10.569999999999999 2.44
1608 44.769999999999996 42.35 10.569999999999999 2.46
1632 44.74 42.36 10.569999999999999 2.48
1656 44.74 42.35 10.56 2.5
1680 44.73 42.35 10.53 2.54
1704 44.73 42.34 10.489999999999998 2.59
1728 44.73 42.330000000000005 10.489999999999998 2.6
1752 44.69 42.35 10.500000000000002 2.6100000000000003
1776 44.69 42.35 10.440000000000001 2.67
1800 44.68 42.34000000000001 10.41 2.72
1824 44.66 42.36 10.389999999999999 2.74
1848 44.63999999999999 42.36000000000001 10.35 2.8000000000000003
1872 44.63 42.36000000000001 10.34 2.8200000000000003
1896 44.62 42.34 10.3 2.89
1920 44.6 42.300000000000004 10.329999999999998 2.9200000000000004
1944 44.6 42.29 10.31 2.9500000000000006
1968 44.6 42.26 10.3 2.9899999999999998
1992 44.580000000000005 42.28000000000001 10.25 3.04
2016 44.580000000000005 42.27 10.25 3.05
