Day(100.0%OfPopulation) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
1104 46.099999999999994 41.95 10.38 1.7500000000000004
1128 46.08 41.949999999999996 10.37 1.78
1152 46.01 41.99 10.37 1.8099999999999998
1176 45.949999999999996 42.01 10.37 1.8499999999999999
1200 45.949999999999996 42.01 10.32 1.8999999999999997
1224 45.93999999999999 41.99999999999999 10.29 1.9499999999999997
1248 45.92999999999999 42.00000000000001 10.26 1.9899999999999993
1272 45.89999999999999 42.010000000000005 10.229999999999999 2.0399999999999996
1296 45.879999999999995 42.02 10.19 2.0899999999999994
1320 45.82999999999999 42.05 10.149999999999999 2.15
1344 45.79999999999999 42.05 10.129999999999999 2.1999999999999997
1368 45.739999999999995 42.059999999999995 10.149999999999999 2.2299999999999995
1392 45.699999999999996 42.1 10.129999999999999 2.25
1416 45.68 42.11 10.069999999999999 2.32
1440 45.65 42.120000000000005 10.040000000000001 2.37
1464 45.620000000000005 42.14000000000001 10.02 2.4
1488 45.60000000000001 42.14000000000001 9.989999999999998 2.45
1512 45.49999999999999 42.21 9.969999999999999 2.5
1536 45.49 42.21 9.929999999999998 2.5500000000000003
1560 45.49 42.21 9.899999999999999 2.58
1584 45.470000000000006 42.209999999999994 9.91 2.59
1608 45.470000000000006 42.209999999999994 9.839999999999998 2.66
1632 45.45 42.22 9.819999999999999 2.69
1656 45.44 42.230000000000004 9.799999999999999 2.7100000000000004
1680 45.42 42.24 9.79 2.73
1704 45.4 42.26 9.76 2.7600000000000002
1728 45.34999999999999 42.279999999999994 9.76 2.79
1752 45.33999999999999 42.279999999999994 9.729999999999999 2.83
1776 45.33999999999999 42.239999999999995 9.709999999999999 2.89
1800 45.3 42.269999999999996 9.669999999999998 2.9400000000000004
1824 45.28 42.269999999999996 9.649999999999999 2.9800000000000004
1848 45.17 42.370000000000005 9.619999999999997 3.0200000000000005
1872 45.17 42.370000000000005 9.6 3.0400000000000005
1896 45.16 42.349999999999994 9.559999999999999 3.1100000000000008
1920 45.16 42.34 9.559999999999999 3.1200000000000006
1944 45.14 42.35 9.54 3.150000000000001
1968 45.129999999999995 42.35 9.529999999999998 3.170000000000001
1992 45.129999999999995 42.35 9.469999999999997 3.2300000000000004
2016 45.11999999999999 42.35 9.419999999999998 3.29
2040 45.11999999999999 42.279999999999994 9.439999999999998 3.34
2064 45.089999999999996 42.309999999999995 9.39 3.39
2088 45.07999999999999 42.31999999999999 9.34 3.44
2112 45.059999999999995 42.31999999999999 9.34 3.4600000000000004
2136 45.050000000000004 42.33 9.259999999999998 3.54
2160 45.04 42.300000000000004 9.24 3.6000000000000005
2184 45.00000000000001 42.300000000000004 9.219999999999997 3.6600000000000006
2208 45.00000000000001 42.300000000000004 9.159999999999998 3.72
2232 45.00000000000001 42.300000000000004 9.139999999999999 3.74
2256 45.00000000000001 42.300000000000004 9.089999999999998 3.7900000000000005
2280 44.99000000000001 42.300000000000004 9.049999999999999 3.8400000000000003
2304 44.99000000000001 42.29 9.02 3.8799999999999994
2328 44.940000000000005 42.29999999999999 8.99 3.9499999999999993
2352 44.92000000000001 42.32 8.94 3.9999999999999996
2376 44.910000000000004 42.31999999999999 8.889999999999999 4.059999999999999
2400 44.910000000000004 42.31999999999999 8.84 4.109999999999999
2424 44.910000000000004 42.29999999999999 8.829999999999998 4.139999999999999
2448 44.910000000000004 42.29 8.79 4.1899999999999995
2472 44.9 42.28999999999999 8.769999999999998 4.22
2496 44.86 42.279999999999994 8.739999999999998 4.3
2520 44.81999999999999 42.29999999999999 8.759999999999998 4.3
2544 44.81999999999999 42.29 8.709999999999999 4.359999999999999
2568 44.81999999999999 42.279999999999994 8.68 4.3999999999999995
2592 44.78999999999999 42.27 8.669999999999998 4.45
2616 44.78999999999999 42.25000000000001 8.639999999999999 4.5
2640 44.78999999999999 42.25000000000001 8.59 4.55
2664 44.78 42.25 8.559999999999999 4.589999999999999
2688 44.74999999999999 42.27 8.549999999999999 4.6099999999999985
2712 44.74999999999999 42.230000000000004 8.559999999999999 4.639999999999999
2736 44.74999999999999 42.22 8.54 4.669999999999999
2760 44.73 42.24 8.5 4.709999999999999
2784 44.71999999999999 42.24 8.469999999999999 4.749999999999999
2808 44.71999999999999 42.22 8.45 4.789999999999999
2832 44.71 42.2 8.469999999999999 4.8
2856 44.7 42.18000000000001 8.459999999999997 4.839999999999999
2880 44.690000000000005 42.17000000000001 8.45 4.869999999999999
