Day(6.4%TBDiseaseONLYPopulation) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
1752 44.88999999999999 42.06999999999999 10.19 3.0299999999999994
1776 44.879999999999995 42.059999999999995 10.149999999999999 3.0899999999999994
1800 44.879999999999995 42.04999999999999 10.11 3.1399999999999997
1824 44.81 42.12 10.09 3.1599999999999997
1848 44.74999999999999 42.169999999999995 10.03 3.2300000000000004
1872 44.71999999999999 42.199999999999996 10.0 3.2600000000000002
1896 44.71999999999999 42.19 9.979999999999999 3.29
1920 44.71 42.19 9.95 3.3300000000000005
1944 44.71 42.19 9.879999999999999 3.4000000000000004
1968 44.699999999999996 42.199999999999996 9.84 3.44
1992 44.699999999999996 42.19 9.790000000000001 3.5000000000000004
2016 44.699999999999996 42.19 9.76 3.5300000000000007
2040 44.699999999999996 42.15999999999999 9.76 3.5600000000000005
2064 44.699999999999996 42.15 9.719999999999999 3.6100000000000008
2088 44.69 42.15 9.69 3.6500000000000004
2112 44.69 42.13999999999999 9.68 3.6700000000000004
2136 44.69 42.13999999999999 9.629999999999999 3.7199999999999998
2160 44.69 42.13 9.59 3.7699999999999996
2184 44.67 42.13999999999999 9.53 3.8400000000000003
2208 44.67 42.13 9.5 3.88
2232 44.66 42.12 9.5 3.9
2256 44.66 42.10999999999999 9.48 3.9299999999999993
2280 44.66 42.1 9.469999999999999 3.9499999999999993
2304 44.65 42.06999999999999 9.459999999999999 3.9999999999999996
2328 44.63999999999999 42.059999999999995 9.459999999999999 4.02
2352 44.629999999999995 42.03 9.45 4.069999999999999
2376 44.60999999999999 42.03 9.409999999999998 4.129999999999999
2400 44.6 42.04 9.319999999999999 4.219999999999999
2424 44.580000000000005 42.02 9.3 4.279999999999999
2448 44.57 42.00000000000001 9.27 4.339999999999999
2472 44.56 42.00000000000001 9.219999999999999 4.3999999999999995
2496 44.56 41.99 9.18 4.449999999999999
2520 44.540000000000006 41.98 9.129999999999999 4.529999999999999
2544 44.540000000000006 41.96999999999999 9.09 4.579999999999999
2568 44.540000000000006 41.949999999999996 9.059999999999999 4.629999999999999
2592 44.53 41.949999999999996 9.03 4.669999999999999
2616 44.510000000000005 41.92999999999999 9.0 4.739999999999999
