Day(90%HIV+Population) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
1296 27.12 13.750000000000002 43.339999999999996 15.940000000000001
1320 27.1 13.750000000000002 43.059999999999995 16.240000000000002
1344 27.060000000000002 13.76 42.779999999999994 16.55
1368 27.019999999999992 13.56 42.69 16.88
1392 26.979999999999993 13.56 42.34 17.270000000000003
1416 26.919999999999998 13.569999999999999 42.05 17.61
1440 26.85 13.58 41.83 17.89
1464 26.810000000000002 13.59 41.57 18.180000000000003
1488 26.8 13.420000000000002 41.39000000000001 18.54
1512 26.779999999999998 13.36 41.16000000000001 18.85
1536 26.749999999999996 13.37 40.92000000000001 19.110000000000007
1560 26.729999999999997 13.36 40.599999999999994 19.46
1584 26.72 13.36 40.300000000000004 19.770000000000003
1608 26.69 13.36 40.01 20.09
1632 26.639999999999997 13.269999999999998 39.709999999999994 20.529999999999998
1656 26.589999999999996 13.269999999999998 39.41 20.880000000000003
1680 26.529999999999998 13.279999999999998 39.129999999999995 21.21
1704 26.490000000000002 13.279999999999998 38.800000000000004 21.580000000000005
1728 26.47 13.279999999999998 38.43 21.97
1752 26.46 13.230000000000002 38.220000000000006 22.24
1776 26.46 13.110000000000003 38.04 22.540000000000006
1800 26.43 13.110000000000003 37.82 22.79
1824 26.399999999999995 13.110000000000003 37.470000000000006 23.17
1848 26.389999999999997 13.110000000000003 37.25000000000001 23.400000000000006
1872 26.339999999999996 13.110000000000003 36.92 23.78
1896 26.339999999999996 12.950000000000001 36.71 24.15
1920 26.32 12.940000000000001 36.50000000000001 24.39
1944 26.32 12.930000000000003 36.21 24.690000000000005
1968 26.32 12.930000000000003 35.86 25.040000000000003
1992 26.3 12.940000000000001 35.52000000000001 25.389999999999997
2016 26.279999999999998 12.920000000000003 35.22 25.730000000000004
2040 26.279999999999998 12.76 35.0 26.11
2064 26.25 12.740000000000002 34.589999999999996 26.570000000000004
2088 26.25 12.740000000000002 34.349999999999994 26.810000000000002
2112 26.229999999999997 12.740000000000002 34.0 27.18
2136 26.200000000000003 12.740000000000002 33.64 27.570000000000007
2160 26.180000000000003 12.659999999999998 33.379999999999995 27.93
2184 26.160000000000004 12.600000000000003 33.07000000000001 28.32
2208 26.160000000000004 12.600000000000003 32.86 28.53
2232 26.150000000000002 12.600000000000003 32.6 28.799999999999997
2256 26.150000000000002 12.58 32.23 29.189999999999994
2280 26.130000000000003 12.58 31.85 29.589999999999993
2304 26.130000000000003 12.42 31.65 29.950000000000003
2328 26.130000000000003 12.410000000000002 31.339999999999996 30.269999999999996
2352 26.119999999999997 12.400000000000002 31.069999999999993 30.56
2376 26.119999999999997 12.389999999999999 30.81 30.829999999999995
2400 26.090000000000003 12.389999999999999 30.479999999999997 31.19
2424 26.080000000000002 12.349999999999998 30.159999999999997 31.56
2448 26.080000000000002 12.229999999999999 30.06 31.78
2472 26.070000000000004 12.229999999999999 29.64999999999999 32.199999999999996
2496 26.060000000000006 12.229999999999999 29.34 32.52
2520 26.040000000000006 12.229999999999999 29.049999999999997 32.830000000000005
2544 26.040000000000006 12.229999999999999 28.669999999999995 33.21
2568 26.040000000000006 12.160000000000002 28.490000000000006 33.46000000000001
2592 25.960000000000004 12.1 28.189999999999998 33.900000000000006
2616 25.95 12.1 27.83 34.27
2640 25.930000000000003 12.1 27.450000000000006 34.67
2664 25.910000000000004 12.1 27.229999999999997 34.90999999999999
2688 25.89 12.080000000000002 26.950000000000003 35.23
2712 25.870000000000005 11.94 26.790000000000003 35.55
2736 25.860000000000007 11.94 26.460000000000004 35.88999999999999
2760 25.860000000000007 11.94 26.11 36.239999999999995
2784 25.82000000000001 11.94 25.679999999999996 36.71
2808 25.800000000000008 11.94 25.380000000000003 37.029999999999994
2832 25.800000000000008 11.919999999999998 24.980000000000004 37.449999999999996
2856 25.759999999999998 11.760000000000002 24.8 37.83
2880 25.759999999999998 11.760000000000002 24.500000000000004 38.13000000000001
2904 25.75 11.77 24.109999999999996 38.519999999999996
2928 25.75 11.77 23.81 38.82
2952 25.75 11.77 23.44 39.190000000000005
2976 25.730000000000004 11.579999999999998 23.390000000000004 39.45
3000 25.670000000000005 11.549999999999997 23.1 39.83
3024 25.640000000000008 11.56 22.790000000000006 40.15999999999999
3048 25.640000000000008 11.549999999999997 22.470000000000002 40.489999999999995
3072 25.630000000000003 11.549999999999997 22.069999999999997 40.900000000000006
3096 25.630000000000003 11.53 21.740000000000002 41.25
3120 25.620000000000005 11.32 21.65 41.559999999999995
3144 25.610000000000007 11.309999999999999 21.44 41.790000000000006
3168 25.600000000000005 11.299999999999999 21.12 42.12999999999999
3192 25.590000000000007 11.29 20.74 42.53
3216 25.580000000000002 11.29 20.41 42.87
3240 25.580000000000002 11.189999999999998 20.150000000000002 43.23
3264 25.580000000000002 11.109999999999998 19.839999999999996 43.620000000000005
3288 25.55 11.109999999999998 19.529999999999998 43.96
3312 25.55 11.109999999999998 19.2 44.29
3336 25.540000000000003 11.109999999999998 18.929999999999996 44.57
3360 25.540000000000003 11.09 18.56 44.959999999999994
3384 25.540000000000003 10.86 18.470000000000002 45.28
3408 25.52 10.839999999999998 18.17 45.61999999999999
3432 25.509999999999998 10.839999999999998 17.79 46.01
3456 25.509999999999998 10.839999999999998 17.4 46.399999999999984
3480 25.509999999999998 10.839999999999998 17.04 46.75999999999999
3504 25.5 10.779999999999998 16.86 47.010000000000005
3528 25.45 10.629999999999999 16.61 47.46
3552 25.44000000000001 10.629999999999999 16.23 47.85
3576 25.430000000000003 10.62 15.999999999999998 48.1
3600 25.419999999999998 10.629999999999999 15.57 48.53000000000001
3624 25.4 10.639999999999999 15.089999999999998 49.01999999999999
3648 25.4 10.51 14.87 49.36999999999999
3672 25.35 10.41 14.650000000000002 49.739999999999995
3696 25.339999999999996 10.4 14.3 50.11
3720 25.33 10.41 13.889999999999999 50.519999999999996
3744 25.33 10.41 13.520000000000005 50.89
3768 25.31 10.41 13.059999999999999 51.36999999999999
3792 25.28 10.24 12.940000000000001 51.68999999999999
3816 25.270000000000003 10.209999999999999 12.68 51.99
3840 25.200000000000006 10.22 12.430000000000001 52.29999999999999
