"Step","Total Residents","At Home","School","Water","Religion","restaurant","Health Center","Socialize","Work","Business"
"2106","46932","8930","16945","1009","621","613","2181","3983","11589","1062"
"2107","46930","31203","0","721","480","527","1717","3920","7466","898"
"2108","46929","31393","0","713","474","521","1690","3870","7376","893"
"2109","46927","46252","0","1","2","3","2","533","28","106"
"2110","46922","46302","0","0","0","0","0","520","0","105"
"2111","46920","46298","0","0","0","0","0","519","0","105"
"2112","46918","46762","0","0","0","0","0","117","0","41"
"2113","46918","46918","0","0","0","0","0","0","0","0"
"2114","46918","46918","0","0","0","0","0","0","0","0"
"2115","46918","46918","0","0","0","0","0","0","0","0"
"2116","46917","46918","0","0","0","0","0","0","0","0"
"2117","46916","46916","0","0","0","0","0","0","0","0"
"2118","46915","35770","0","1141","624","477","1755","2672","3975","501"
"2119","46913","28767","0","1821","1002","809","2943","4369","6367","837"
"2120","46912","26981","0","1970","1076","927","3224","4797","7004","934"
"2121","46907","16889","730","2582","1302","1388","4409","7073","11142","1397"
"2122","46905","7610","7948","2465","986","1275","4160","7032","13899","1532"
"2123","46903","9115","10932","1903","652","913","3172","5444","13434","1340"
"2124","46901","12088","10281","1344","521","626","2459","4306","14210","1066"
"2125","46896","14352","9503","1024","467","538","2177","3447","14584","809"
"2126","46895","9911","14394","899","442","471","1960","4559","13217","1042"
"2127","46895","9853","14467","899","446","469","1954","4559","13204","1044"
"2128","46895","8492","17265","995","577","531","2177","3812","12053","993"
"2129","46894","8622","17265","1026","678","538","2157","3836","11699","1073"
"2130","46892","15100","12293","947","647","528","2018","3826","10479","1056"
"2131","46891","31290","0","784","542","476","1788","3693","7413","906"
"2132","46891","37451","0","492","353","324","1111","2279","4374","507"
"2133","46891","45796","0","23","29","19","74","609","217","124"
"2134","46891","46233","0","0","0","0","0","543","0","115"
"2135","46890","46232","0","0","0","0","0","543","0","115"
"2136","46888","46752","0","0","0","0","0","114","0","24"
"2137","46888","46888","0","0","0","0","0","0","0","0"
"2138","46888","46888","0","0","0","0","0","0","0","0"
"2139","46888","46888","0","0","0","0","0","0","0","0"
"2140","46888","46888","0","0","0","0","0","0","0","0"
"2141","46886","46886","0","0","0","0","0","0","0","0"
"2142","46883","34756","0","1493","739","600","2146","5120","782","1250"
"2143","46882","32399","0","1791","892","722","2557","6104","930","1488"
"2144","46881","23070","0","2875","1226","1238","4115","10321","1534","2502"
"2145","46878","9405","0","4148","1628","2035","6240","16613","2499","4310"
"2146","46878","10023","0","3977","1685","2001","6324","15892","2503","4473"
"2147","46874","10829","0","3447","1529","1782","5818","16287","2540","4646"
"2148","46874","12435","0","3043","1517","1663","5564","15759","2567","4326"
"2149","46872","14723","0","2484","1481","1611","5469","14997","2410","3697"
"2150","46871","11984","0","1955","1247","1329","4551","18422","2836","4547"
"2151","46871","11909","0","2066","1435","1411","5014","17928","2635","4473"
"2152","46871","12059","0","2290","1898","1695","6191","16124","2251","4363"
"2153","46871","11854","0","2212","1905","1666","6065","16362","2308","4499"
"2154","46871","16799","0","1741","1446","1274","4613","14726","2239","4033"
"2155","46870","25857","0","919","741","690","2548","11013","2113","2989"
"2156","46869","40749","0","345","296","274","979","3062","389","775"
"2157","46869","42564","0","233","205","183","679","2238","202","565"
"2158","46868","45308","0","0","0","0","0","1246","0","314"
"2159","46867","45308","0","0","0","0","0","1246","0","314"
"2160","46867","46660","0","0","0","0","0","167","0","40"
"2161","46867","46867","0","0","0","0","0","0","0","0"
"2162","46864","46864","0","0","0","0","0","0","0","0"
"2163","46862","46864","0","0","0","0","0","0","0","0"
"2164","46862","46862","0","0","0","0","0","0","0","0"
"2165","46861","46862","0","0","0","0","0","0","0","0"
"2166","46859","38150","0","780","2311","319","1254","3210","0","835"
"2167","46856","30057","0","1551","4350","602","2453","6212","0","1634"
"2168","46852","20347","0","2331","6408","972","3809","10270","0","2719"
"2169","46851","15894","0","2649","7338","1133","4491","12110","0","3237"
"2170","46849","9520","0","3015","8748","1413","5538","14564","0","4051"
"2171","46848","10844","0","2780","8323","1284","5264","14208","0","4145"
"2172","46845","15080","0","2074","7483","1135","4726","12972","0","3375"
"2173","46842","14866","0","1996","7526","1166","4725","13244","0","3322"
"2174","46840","13798","0","1739","7022","1072","4374","15063","0","3772"
"2175","46837","12575","0","1560","7112","1010","4325","16173","0","4085"
"2176","46835","12558","0","1623","7621","1113","4788","15193","0","3941"
"2177","46835","11961","0","1740","8639","1193","5220","14119","0","3963"
"2178","46833","25322","0","878","4424","562","2658","10116","0","2873"
"2179","46833","26826","0","774","3940","499","2391","9662","0","2741"
"2180","46833","29692","0","650","3250","416","2045","8405","0","2375"
"2181","46833","44856","0","41","204","29","120","1261","0","322"
"2182","46831","45439","0","0","0","0","0","1110","0","282"
"2183","46830","45438","0","0","0","0","0","1110","0","282"
"2184","46828","45950","0","0","0","0","0","705","0","173"
"2185","46827","46827","0","0","0","0","0","0","0","0"
"2186","46827","46827","0","0","0","0","0","0","0","0"
"2187","46825","46827","0","0","0","0","0","0","0","0"
"2188","46824","46824","0","0","0","0","0","0","0","0"
"2189","46819","46824","0","0","0","0","0","0","0","0"
"2190","46819","38875","0","609","404","700","1177","1899","2819","336"
"2191","46816","27971","0","1497","921","1562","2892","4581","6554","838"
"2192","46815","24443","0","1688","1030","1771","3378","5394","8075","1037"
"2193","46815","11481","4041","2040","1177","2353","4373","7110","12759","1481"
"2194","46815","8600","9723","1683","775","1887","3445","5732","13646","1324"
"2195","46814","8805","10996","1345","670","1554","2811","5479","13847","1307"
"2196","46813","13692","9611","910","432","1212","2173","3516","14416","851"
"2197","46813","14311","9456","855","412","1122","2070","3282","14539","766"
"2198","46812","11473","12616","816","397","1052","1966","3935","13684","873"
"2199","46812","9239","15390","853","402","1041","1967","4055","12944","921"
"2200","46810","8905","16989","917","562","1052","2183","3583","11667","952"
"2201","46810","8760","16989","828","608","1006","2185","3763","11657","1014"
"2202","46809","15074","12171","794","576","958","2105","3729","10424","979"
"2203","46808","31068","0","654","481","880","1837","3622","7394","872"
"2204","46807","32679","0","568","404","790","1608","3291","6669","799"
"2205","46805","43393","0","172","109","212","476","911","1329","205"
"2206","46803","46167","0","0","0","0","0","522","0","114"
"2207","46800","46164","0","0","0","0","0","522","0","114"
"2208","46798","46777","0","0","0","0","0","16","0","5"
"2209","46798","46798","0","0","0","0","0","0","0","0"
"2210","46797","46798","0","0","0","0","0","0","0","0"
"2211","46796","46796","0","0","0","0","0","0","0","0"
"2212","46793","46796","0","0","0","0","0","0","0","0"
"2213","46790","46793","0","0","0","0","0","0","0","0"
"2214","46789","37094","0","817","517","706","1509","2311","3429","406"
"2215","46789","32336","0","1230","772","1070","2225","3423","5105","628"
"2216","46787","23735","0","1870","1086","1672","3540","5515","8340","1029"
"2217","46786","13743","2606","2343","1204","2068","4403","6957","12054","1409"
"2218","46786","7117","7165","2383","1064","2088","4326","7108","14015","1520"
"2219","46786","8983","10758","1703","616","1458","3143","5294","13495","1336"
"2220","46785","14047","9520","965","425","1006","2106","3548","14369","799"
"2221","46783","14465","9350","931","424","965","2038","3381","14469","762"
"2222","46781","11095","12988","825","412","870","1948","4207","13521","915"
"2223","46781","9485","14899","830","402","855","1973","4333","13038","966"
"2224","46780","8849","17099","939","577","906","2227","3613","11658","912"
"2225","46779","9084","17099","955","622","928","2233","3626","11306","927"
"2226","46775","22260","6674","763","590","781","1913","3705","9174","915"
"2227","46775","31008","0","653","531","750","1807","3619","7530","877"
"2228","46770","31293","0","623","508","721","1724","3564","7467","875"
"2229","46769","43281","0","176","141","192","457","883","1415","225"
"2230","46768","46134","0","0","0","0","0","507","0","128"
"2231","46763","46128","0","0","0","0","0","507","0","128"
"2232","46762","46489","0","0","0","0","0","225","0","49"
"2233","46759","46762","0","0","0","0","0","0","0","0"
"2234","46758","46758","0","0","0","0","0","0","0","0"
"2235","46756","46758","0","0","0","0","0","0","0","0"
"2236","46755","46755","0","0","0","0","0","0","0","0"
"2237","46755","46755","0","0","0","0","0","0","0","0"
"2238","46755","39289","0","678","389","457","1131","1770","2701","340"
"2239","46751","31363","0","1400","819","986","2388","3662","5421","716"
"2240","46751","20683","0","2278","1180","1648","3966","6271","9461","1264"
"2241","46750","12997","3039","2484","1188","1780","4453","7127","12169","1514"
"2242","46748","8116","8990","2093","847","1446","3803","6273","13723","1459"
"2243","46747","8910","10896","1680","647","1137","3105","5434","13584","1354"
"2244","46745","11247","10362","1270","549","917","2589","4602","14059","1150"
"2245","46745","14604","9376","987","445","702","2079","3252","14494","806"
"2246","46744","12397","11673","958","434","681","1992","3894","13811","905"
"2247","46743","8589","16358","966","445","688","2019","4033","12698","947"
"2248","46742","8130","17133","984","470","735","2065","3876","12438","912"
"2249","46740","8765","17131","918","637","752","2219","3814","11475","1029"
"2250","46737","14909","12295","861","571","727","2063","3813","10482","1019"
"2251","46735","31132","0","703","457","627","1817","3671","7425","903"
"2252","46731","37320","0","453","296","399","1205","2215","4282","565"
"2253","46729","43577","0","186","103","162","461","832","1197","211"
"2254","46728","46114","0","0","0","0","0","488","0","126"
"2255","46728","46114","0","0","0","0","0","488","0","126"
"2256","46726","46185","0","0","0","0","0","436","0","107"
"2257","46726","46726","0","0","0","0","0","0","0","0"
"2258","46726","46726","0","0","0","0","0","0","0","0"
"2259","46725","46725","0","0","0","0","0","0","0","0"
"2260","46723","46723","0","0","0","0","0","0","0","0"
"2261","46722","46722","0","0","0","0","0","0","0","0"
"2262","46719","42127","0","428","263","234","753","1050","1648","219"
"2263","46716","30002","0","1625","908","904","2763","3908","5843","766"
"2264","46715","26548","0","1910","1041","1126","3282","4862","7008","938"
"2265","46713","11286","4190","2559","1222","1620","4492","7184","12665","1495"
"2266","46712","8211","8702","2181","951","1364","3852","6366","13631","1455"
"2267","46711","8988","11013","1589","669","991","2880","5565","13630","1387"
"2268","46710","12516","10048","1226","495","737","2275","4184","14233","996"
"2269","46710","14251","9632","1056","409","586","2082","3500","14417","777"
"2270","46708","12193","11739","983","386","580","2014","4043","13885","887"
"2271","46708","8240","16715","931","417","567","2098","4018","12765","957"
"2272","46707","8363","17178","966","538","570","2228","3790","12122","953"
"2273","46706","8494","17177","966","625","607","2223","3876","11716","1022"
"2274","46705","30584","413","817","511","528","1750","3681","7521","900"
"2275","46704","31123","0","798","509","526","1750","3665","7437","897"
"2276","46702","40435","0","374","237","227","796","1522","2779","334"
"2277","46702","45066","0","79","46","44","160","641","524","142"
"2278","46700","46099","0","0","0","0","0","497","0","106"
"2279","46696","46097","0","0","0","0","0","497","0","106"
"2280","46696","46486","0","0","0","0","0","172","0","38"
"2281","46694","46694","0","0","0","0","0","0","0","0"
"2282","46693","46693","0","0","0","0","0","0","0","0"
"2283","46691","46691","0","0","0","0","0","0","0","0"
"2284","46689","46689","0","0","0","0","0","0","0","0"
"2285","46688","46688","0","0","0","0","0","0","0","0"
"2286","46685","39494","0","709","383","328","1158","1734","2538","341"
"2287","46683","28712","0","1806","955","811","2843","4477","6248","831"
"2288","46682","25646","0","2054","1071","949","3337","5247","7390","989"
"2289","46681","16834","617","2589","1269","1322","4390","7176","11059","1426"
"2290","46680","6914","7054","2671","1164","1294","4468","7443","14064","1609"
"2291","46679","8883","11112","1683","668","792","2976","5557","13622","1386"
"2292","46678","11196","10486","1382","588","671","2473","4653","14057","1173"
"2293","46676","14386","9519","1014","470","507","2082","3474","14427","799"
"2294","46675","12042","12014","956","441","496","1987","4064","13754","921"
"2295","46675","8527","16440","976","444","472","2013","4150","12678","975"
"2296","46675","8010","17169","1001","480","459","2130","3978","12485","963"
"2297","46674","8631","17169","1059","674","514","2279","3859","11485","1005"
"2298","46674","17906","9981","933","560","476","2099","3842","9892","985"
"2299","46674","31170","0","802","480","450","1837","3673","7370","892"
"2300","46671","41226","0","321","203","191","764","1281","2381","304"
"2301","46670","42523","0","247","164","161","628","1004","1714","230"
"2302","46667","46036","0","0","0","0","0","518","0","113"
"2303","46667","46036","0","0","0","0","0","518","0","113"
"2304","46666","46400","0","0","0","0","0","220","0","46"
"2305","46664","46666","0","0","0","0","0","0","0","0"
"2306","46664","46664","0","0","0","0","0","0","0","0"
"2307","46664","46664","0","0","0","0","0","0","0","0"
"2308","46664","46664","0","0","0","0","0","0","0","0"
"2309","46662","46662","0","0","0","0","0","0","0","0"
"2310","46661","46034","0","74","36","25","97","265","59","72"
"2311","46660","30943","0","1929","927","793","2686","6720","985","1678"
"2312","46658","25059","0","2635","1163","1126","3644","9356","1360","2317"
"2313","46658","10545","0","4067","1650","1962","5896","15927","2412","4199"
"2314","46655","9981","0","3909","1702","2007","6331","15743","2493","4489"
"2315","46653","10591","0","3590","1635","1889","6090","15809","2506","4545"
"2316","46651","14030","0","2813","1476","1551","5492","15013","2397","3879"
"2317","46650","14883","0","2514","1445","1541","5518","14715","2365","3670"
"2318","46649","12733","0","2071","1265","1353","4771","17475","2696","4285"
"2319","46646","12129","0","1988","1313","1458","5000","17800","2587","4371"
"2320","46646","12025","0","2189","1709","1658","5941","16458","2285","4381"
"2321","46644","12036","0","2263","1942","1701","6229","15835","2233","4407"
"2322","46644","14039","0","1868","1670","1367","5211","15808","2333","4348"
"2323","46643","25594","0","923","809","658","2676","10853","2117","3014"
"2324","46641","29896","0","741","624","517","2145","8720","1606","2394"
"2325","46639","43912","0","95","76","73","314","1673","90","408"
"2326","46638","45087","0","0","0","0","0","1248","0","303"
"2327","46635","45087","0","0","0","0","0","1248","0","303"
"2328","46634","45557","0","0","0","0","0","867","0","211"
"2329","46633","46633","0","0","0","0","0","0","0","0"
"2330","46632","46632","0","0","0","0","0","0","0","0"
"2331","46629","46632","0","0","0","0","0","0","0","0"
"2332","46628","46629","0","0","0","0","0","0","0","0"
"2333","46628","46628","0","0","0","0","0","0","0","0"
"2334","46626","38574","0","700","2073","273","1195","3006","0","807"
"2335","46626","29902","0","1506","4262","556","2457","6307","0","1636"
"2336","46624","19255","0","2384","6463","962","3993","10805","0","2762"
"2337","46622","9803","0","3095","8562","1302","5404","14468","0","3988"
"2338","46619","8985","0","3122","8878","1345","5537","14498","0","4257"
"2339","46618","10790","0","2759","8321","1267","5333","13902","0","4247"
"2340","46617","11336","0","2522","7753","1186","4996","14491","0","4334"
"2341","46617","15010","0","1838","7622","1022","4827","13044","0","3254"
"2342","46615","13163","0","1576","6688","924","4228","15986","0","4050"
"2343","46613","12487","0","1599","7120","992","4558","15802","0","4057"
"2344","46611","12032","0","1792","8487","1216","5136","14119","0","3831"
"2345","46610","11939","0","1827","8688","1230","5268","13821","0","3838"
"2346","46610","13386","0","1606","7729","1043","4713","14217","0","3916"
"2347","46609","27063","0","763","3585","501","2302","9765","0","2630"
"2348","46606","33530","0","512","2545","340","1611","6357","0","1714"
"2349","46606","43729","0","89","523","51","308","1507","0","399"
"2350","46605","45260","0","0","0","0","0","1072","0","273"
"2351","46604","45260","0","0","0","0","0","1072","0","273"
"2352","46601","46067","0","0","0","0","0","429","0","105"
"2353","46598","46601","0","0","0","0","0","0","0","0"
"2354","46596","46598","0","0","0","0","0","0","0","0"
"2355","46596","46596","0","0","0","0","0","0","0","0"
"2356","46594","46596","0","0","0","0","0","0","0","0"
"2357","46593","46593","0","0","0","0","0","0","0","0"
"2358","46589","39192","0","525","415","624","1061","1775","2637","360"
"2359","46585","27701","0","1356","996","1578","2887","4568","6667","832"
"2360","46583","26984","0","1410","1025","1639","2985","4742","6924","876"
"2361","46579","17219","274","2008","1273","2334","4237","7019","10873","1346"
"2362","46579","6971","6840","2061","1110","2440","4276","7326","14058","1497"
"2363","46578","8987","10647","1492","668","1751","2897","5348","13513","1276"
"2364","46577","9531","10691","1341","606","1571","2595","5195","13813","1235"
"2365","46577","14411","9297","869","368","1192","1963","3335","14353","789"
"2366","46572","11519","12278","800","368","1123","1875","4052","13612","945"
"2367","46571","8977","15354","821","371","1086","1876","4200","12900","987"
"2368","46571","8692","16913","887","546","1162","2129","3584","11679","979"
"2369","46571","8834","16913","890","589","1144","2116","3631","11449","1005"
"2370","46570","21655","6955","745","546","941","1892","3691","9204","942"
"2371","46570","30841","0","624","502","858","1823","3609","7457","856"
"2372","46569","31817","0","575","457","791","1678","3410","7040","802"
"2373","46567","42585","0","194","145","247","576","960","1643","219"
"2374","46567","45970","0","0","0","0","0","486","0","111"
"2375","46567","45970","0","0","0","0","0","486","0","111"
"2376","46566","46366","0","0","0","0","0","161","0","39"
"2377","46561","46561","0","0","0","0","0","0","0","0"
"2378","46557","46561","0","0","0","0","0","0","0","0"
"2379","46556","46556","0","0","0","0","0","0","0","0"
"2380","46556","46556","0","0","0","0","0","0","0","0"
"2381","46552","46556","0","0","0","0","0","0","0","0"
"2382","46550","44369","0","181","124","166","351","497","765","99"
"2383","46549","27564","0","1598","985","1384","3055","4467","6660","836"
"2384","46548","19399","0","2106","1149","1913","4082","6541","10023","1335"
"2385","46548","13953","2364","2234","1131","2061","4313","7162","11829","1501"
"2386","46545","7032","7106","2303","979","2051","4206","7335","13916","1620"
"2387","46542","8895","10736","1633","652","1474","3011","5380","13419","1345"
"2388","46540","12093","10008","1109","523","1082","2311","4243","14162","1011"
"2389","46540","14283","9314","912","434","943","2006","3473","14395","780"
"2390","46536","13246","10540","874","426","917","1958","3741","14002","836"
"2391","46536","8987","15643","773","448","898","1979","4188","12674","946"
"2392","46536","8614","16936","901","640","930","2215","3728","11614","958"
"2393","46535","8729","16936","903","699","915","2160","3702","11482","1010"
"2394","46534","19301","8758","779","597","771","1967","3770","9620","972"
"2395","46534","30834","0","686","475","710","1854","3690","7416","869"
"2396","46529","35759","0","477","330","508","1314","2542","4993","611"
"2397","46529","44489","0","79","67","91","237","721","689","156"
"2398","46528","45907","0","0","0","0","0","515","0","106"
"2399","46525","45907","0","0","0","0","0","515","0","106"
"2400","46524","46521","0","0","0","0","0","2","0","1"
"2401","46523","46523","0","0","0","0","0","0","0","0"
"2402","46520","46520","0","0","0","0","0","0","0","0"
"2403","46520","46520","0","0","0","0","0","0","0","0"
"2404","46519","46519","0","0","0","0","0","0","0","0"
"2405","46517","46519","0","0","0","0","0","0","0","0"
"2406","46517","37438","0","831","511","581","1390","2143","3193","430"
"2407","46516","31611","0","1358","845","933","2288","3545","5256","681"
"2408","46514","19790","0","2247","1262","1644","4051","6470","9806","1244"
"2409","46513","9908","4904","2431","1171","1765","4444","7333","13048","1509"
"2410","46511","8297","9342","2000","867","1452","3592","6010","13537","1414"
"2411","46509","8800","10996","1581","677","1136","2915","5491","13591","1322"
"2412","46506","13604","9628","1085","467","820","2273","3543","14244","842"
"2413","46504","14212","9402","969","430","762","2207","3316","14409","799"
"2414","46504","10048","14099","874","374","715","1913","4337","13160","984"
"2415","46502","9678","14604","861","374","721","1910","4318","13034","1004"
"2416","46501","8914","17063","1005","624","792","2218","3619","11323","944"
"2417","46501","8496","17063","979","646","747","2136","3853","11557","1024"
"2418","46499","17862","9911","927","592","684","1995","3824","9759","945"
"2419","46494","30869","0","777","525","592","1808","3715","7352","861"
"2420","46492","35311","0","563","383","446","1343","2679","5154","615"
"2421","46491","44082","0","116","86","104","294","821","824","164"
"2422","46489","45800","0","0","0","0","0","579","0","112"
"2423","46485","45794","0","0","0","0","0","579","0","112"
"2424","46483","46041","0","0","0","0","0","374","0","68"
"2425","46482","46482","0","0","0","0","0","0","0","0"
"2426","46480","46480","0","0","0","0","0","0","0","0"
"2427","46475","46475","0","0","0","0","0","0","0","0"
"2428","46475","46475","0","0","0","0","0","0","0","0"
"2429","46474","46475","0","0","0","0","0","0","0","0"
"2430","46474","42421","0","393","233","209","655","968","1428","167"
"2431","46472","30079","0","1524","923","843","2621","3951","5777","754"
"2432","46469","25702","0","1920","1119","1085","3317","5078","7301","950"
"2433","46468","11586","3807","2599","1230","1571","4397","7332","12415","1531"
"2434","46467","7647","7821","2484","997","1427","3969","6924","13609","1590"
"2435","46467","8849","10947","1680","638","975","2827","5612","13484","1455"
"2436","46465","9857","10668","1518","613","903","2688","5289","13603","1328"
"2437","46463","14318","9410","992","440","617","2170","3477","14256","785"
"2438","46462","13977","9546","995","455","617","2183","3615","14269","806"
"2439","46461","8721","15871","945","410","558","2067","4253","12664","973"
"2440","46460","8191","17003","993","487","579","2172","3938","12144","954"
"2441","46460","8663","17003","1044","687","644","2256","3806","11354","1003"
"2442","46458","24567","4658","802","562","569","2002","3765","8583","950"
"2443","46456","30772","0","717","517","560","1895","3682","7416","899"
"2444","46456","38086","0","407","290","320","1056","1988","3857","452"
"2445","46455","43643","0","144","100","117","355","839","1063","194"
"2446","46453","45794","0","0","0","0","0","534","0","125"
"2447","46452","45794","0","0","0","0","0","534","0","125"
"2448","46451","45901","0","0","0","0","0","448","0","103"
"2449","46449","46451","0","0","0","0","0","0","0","0"
"2450","46449","46449","0","0","0","0","0","0","0","0"
"2451","46448","46449","0","0","0","0","0","0","0","0"
"2452","46447","46447","0","0","0","0","0","0","0","0"
"2453","46445","46445","0","0","0","0","0","0","0","0"
"2454","46443","34991","0","1155","631","522","1769","2721","4117","537"
"2455","46443","27818","0","1889","977","886","2931","4548","6532","862"
"2456","46442","20682","0","2417","1177","1229","3932","6395","9371","1239"
"2457","46438","16605","626","2620","1282","1339","4382","7190","10953","1445"
"2458","46436","9060","10656","1865","738","846","3186","5441","13225","1419"
"2459","46431","8842","10998","1703","713","789","2955","5543","13441","1452"
"2460","46429","9343","10934","1550","659","733","2783","5375","13643","1411"
"2461","46428","14150","9443","983","436","534","2085","3529","14391","877"
"2462","46427","11375","12676","932","404","489","1979","4188","13388","996"
"2463","46427","8804","15861","953","438","515","2001","4271","12627","957"
"2464","46424","8816","17070","1052","650","543","2226","3709","11402","959"
"2465","46424","8513","17069","1033","680","547","2212","3856","11475","1039"
"2466","46424","17661","9907","912","585","523","2048","3905","9897","986"
"2467","46424","30735","0","789","493","452","1898","3698","7480","879"
"2468","46423","32087","0","725","458","409","1706","3393","6835","811"
"2469","46419","43149","0","180","115","125","459","869","1321","205"
"2470","46418","45774","0","0","0","0","0","514","0","130"
"2471","46417","45773","0","0","0","0","0","514","0","130"
"2472","46417","45964","0","0","0","0","0","356","0","97"
"2473","46414","46417","0","0","0","0","0","0","0","0"
"2474","46414","46414","0","0","0","0","0","0","0","0"
"2475","46412","46412","0","0","0","0","0","0","0","0"
"2476","46407","46412","0","0","0","0","0","0","0","0"
"2477","46403","46407","0","0","0","0","0","0","0","0"
"2478","46400","44306","0","264","130","109","318","906","149","221"
"2479","46398","30670","0","2017","921","762","2727","6599","1033","1671"
"2480","46396","19579","0","3303","1269","1380","4510","11562","1824","2969"
"2481","46392","16269","0","3676","1361","1566","5089","13006","2034","3395"
"2482","46391","8314","0","4322","1618","1977","6450","16540","2641","4530"
"2483","46390","10511","0","3544","1533","1744","5915","15980","2561","4602"
"2484","46387","13016","0","2887","1475","1629","5648","15233","2418","4081"
"2485","46386","15057","0","2310","1555","1550","5625","14432","2269","3589"
"2486","46386","12417","0","1942","1371","1347","4944","17448","2665","4252"
"2487","46386","11932","0","1969","1414","1448","5107","17541","2590","4385"
"2488","46385","12125","0","2215","1696","1609","5894","16299","2316","4232"
"2489","46385","11799","0","2189","1912","1548","6072","16119","2309","4437"
"2490","46382","17780","0","1572","1337","1179","4506","13887","2271","3853"
"2491","46382","25432","0","874","739","720","2700","10793","2104","3020"
"2492","46378","35544","0","490","434","401","1544","5553","924","1492"
"2493","46377","42593","0","209","181","149","566","2010","169","501"
"2494","46377","44868","0","0","0","0","0","1221","0","288"
"2495","46375","44866","0","0","0","0","0","1221","0","288"
"2496","46375","45832","0","0","0","0","0","434","0","109"
"2497","46373","46375","0","0","0","0","0","0","0","0"
"2498","46373","46373","0","0","0","0","0","0","0","0"
"2499","46371","46373","0","0","0","0","0","0","0","0"
"2500","46371","46371","0","0","0","0","0","0","0","0"
"2501","46370","46371","0","0","0","0","0","0","0","0"
"2502","46369","36738","0","904","2450","291","1482","3602","0","902"
"2503","46369","29895","0","1508","4206","534","2483","6200","0","1543"
"2504","46367","19415","0","2422","6434","966","3974","10479","0","2677"
"2505","46365","14149","0","2758","7499","1177","4766","12747","0","3269"
"2506","46361","10201","0","2892","8636","1374","5457","13855","0","3946"
"2507","46359","10851","0","2721","8364","1327","5240","13865","0","3993"
"2508","46359","11669","0","2443","7722","1233","4891","14343","0","4058"
"2509","46359","15261","0","1909","7510","1078","4766","12674","0","3161"
"2510","46358","12700","0","1527","6581","989","4094","16396","0","4071"
"2511","46357","12443","0","1641","7388","1126","4705","15133","0","3921"
"2512","46355","12243","0","1697","7761","1160","4920","14687","0","3889"
"2513","46354","11739","0","1691","8318","1173","5160","14270","0","4004"
"2514","46354","14646","0","1419","7242","993","4416","13785","0","3853"
"2515","46351","26973","0","691","3616","504","2285","9578","0","2704"
"2516","46351","40467","0","276","1410","201","853","2507","0","637"
"2517","46350","44509","0","25","147","21","91","1248","0","310"
"2518","46349","44941","0","0","0","0","0","1126","0","283"
"2519","46347","44940","0","0","0","0","0","1126","0","283"
"2520","46346","45361","0","0","0","0","0","777","0","208"
"2521","46346","46346","0","0","0","0","0","0","0","0"
"2522","46345","46346","0","0","0","0","0","0","0","0"
"2523","46343","46343","0","0","0","0","0","0","0","0"
"2524","46340","46343","0","0","0","0","0","0","0","0"
"2525","46339","46339","0","0","0","0","0","0","0","0"
"2526","46336","37088","0","695","528","753","1431","2141","3289","414"
"2527","46336","30500","0","1239","880","1287","2455","3672","5592","711"
"2528","46332","21764","0","1795","1142","2000","3728","5843","8946","1118"
"2529","46332","15284","1416","2027","1199","2343","4320","6938","11446","1359"
"2530","46332","8499","9589","1639","766","1884","3311","5751","13542","1351"
"2531","46330","8773","10853","1331","606","1564","2729","5461","13669","1344"
"2532","46327","14007","9262","878","444","1135","2092","3230","14429","850"
"2533","46326","14236","9150","843","441","1110","2082","3161","14469","835"
"2534","46325","11753","11718","776","428","1084","2021","3813","13785","947"
"2535","46325","8420","16157","779","412","1077","1944","3838","12710","988"
"2536","46323","8349","16778","819","494","1112","2026","3633","12147","967"
"2537","46323","9096","16776","879","592","1117","2175","3502","11207","979"
"2538","46322","15093","11827","771","555","1019","1937","3758","10385","977"
"2539","46320","30650","0","625","496","917","1720","3645","7412","857"
"2540","46319","34941","0","477","374","657","1280","2685","5297","608"
"2541","46318","43960","0","100","93","136","272","779","828","150"
"2542","46317","45661","0","0","0","0","0","548","0","109"
"2543","46317","45660","0","0","0","0","0","548","0","109"
"2544","46316","45792","0","0","0","0","0","441","0","84"
"2545","46315","46316","0","0","0","0","0","0","0","0"
"2546","46312","46312","0","0","0","0","0","0","0","0"
"2547","46311","46312","0","0","0","0","0","0","0","0"
"2548","46309","46309","0","0","0","0","0","0","0","0"
"2549","46309","46309","0","0","0","0","0","0","0","0"
"2550","46307","42262","0","357","217","294","615","924","1427","211"
"2551","46304","30986","0","1339","822","1128","2361","3568","5367","736"
"2552","46304","19770","0","2144","1195","1893","3912","6282","9779","1329"
"2553","46304","14560","1866","2298","1197","2068","4230","6917","11684","1484"
"2554","46304","7682","8160","2112","945","1864","3897","6406","13722","1516"
"2555","46303","9022","10546","1635","620","1464","3066","5229","13361","1361"
"2556","46300","13190","9540","1107","450","1040","2149","3785","14136","906"
"2557","46298","14264","9229","986","417","943","1950","3398","14337","774"
"2558","46296","12511","11062","931","412","903","1894","3852","13878","855"
"2559","46296","9011","15195","872","427","876","1946","4207","12826","936"
"2560","46294","8910","16767","998","621","933","2334","3597","11203","931"
"2561","46293","8930","16767","981","631","926","2325","3595","11181","958"
"2562","46293","27372","2437","717","511","798","1847","3724","8022","865"
"2563","46292","30769","0","638","469","747","1754","3684","7388","843"
"2564","46291","34028","0","511","380","587","1393","2944","5779","669"
"2565","46290","44748","0","59","33","54","163","627","451","155"
"2566","46290","45691","0","0","0","0","0","478","0","121"
